"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","> Goods vehicles","Petrol",3130,3496,3127,3611,3398,3425,3511,3260,2927,3119,3204,3000,3287,3491,4306,1998,2279
"Switzerland","> Goods vehicles","Diesel",20196,22456,24546,25737,22010,24025,29342,30763,29330,29968,31765,31423,33841,33543,34886,29333,29134
"Switzerland","> Goods vehicles","Petrol-electricity: conventional hybrid",0,5,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
"Switzerland","> Goods vehicles","Petrol-electricity: plug-in hybrid",0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0
"Switzerland","> Goods vehicles","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,3,5,6,2,4,6,3,0,51,116,106
"Switzerland","> Goods vehicles","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Goods vehicles","Electricity",11,1,3,9,5,11,13,150,121,95,164,181,193,303,593,799,1650
"Switzerland","> Goods vehicles","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,31
"Switzerland","> Goods vehicles","Gas (monovalent and bivalent)",187,281,373,346,436,266,249,267,246,220,151,170,174,196,172,166,214
"Switzerland","> Goods vehicles","Other",11,13,6,2,1,0,0,2,2,1,1,1,0,2,0,0,0
"Switzerland","> Goods vehicles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Delivery vehicle","Petrol",3120,3482,3110,3583,3395,3423,3509,3246,2915,3081,3171,2986,3276,3485,4305,1996,2276
"Switzerland","... Delivery vehicle","Diesel",16353,17646,20133,20557,17596,20475,24891,26775,25664,25375,27534,27110,29067,28967,30429,25500,25371
"Switzerland","... Delivery vehicle","Petrol-electricity: conventional hybrid",0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"Switzerland","... Delivery vehicle","Petrol-electricity: plug-in hybrid",0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0
"Switzerland","... Delivery vehicle","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,116,106
"Switzerland","... Delivery vehicle","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Delivery vehicle","Electricity",11,1,3,8,5,6,12,148,120,91,160,175,188,295,578,766,1569
"Switzerland","... Delivery vehicle","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Delivery vehicle","Gas (monovalent and bivalent)",178,272,359,341,415,250,232,256,230,207,140,163,168,189,118,125,180
"Switzerland","... Delivery vehicle","Other",6,4,0,1,1,0,0,2,2,1,1,1,0,2,0,0,0
"Switzerland","... Delivery vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Goods truck (lorry)","Petrol",9,8,6,25,3,2,1,13,11,37,22,14,7,6,0,2,3
"Switzerland","... Goods truck (lorry)","Diesel",2822,3284,3161,3566,3301,2668,3251,3092,2741,3401,3154,3133,3183,3310,3201,2851,2805
"Switzerland","... Goods truck (lorry)","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Goods truck (lorry)","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Goods truck (lorry)","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,3,5,5,2,4,6,3,0,1,0,0
"Switzerland","... Goods truck (lorry)","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Goods truck (lorry)","Electricity",0,0,0,1,0,5,1,2,1,4,3,5,5,8,13,31,77
"Switzerland","... Goods truck (lorry)","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,31
"Switzerland","... Goods truck (lorry)","Gas (monovalent and bivalent)",9,9,13,5,21,15,16,11,16,13,11,7,6,7,11,20,19
"Switzerland","... Goods truck (lorry)","Other",4,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Goods truck (lorry)","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated vehicle","Petrol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated vehicle","Diesel",8,3,9,14,6,7,6,5,5,6,4,1,1,11,6,8,4
"Switzerland","... Articulated vehicle","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated vehicle","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated vehicle","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
