Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,> Goods vehicles,Before 1960,Petrol,343,334,331,324,311,326,317,307,306,311,319,313,308,293,293,287,358,360,391,380,364,385,410,421,467,497,569,586,649,686,710,743
Switzerland,> Goods vehicles,Before 1960,Diesel,292,315,324,295,307,266,241,235,235,219,199,192,179,173,164,154,176,173,147,145,149,162,150,144,154,155,172,172,170,172,178,180
Switzerland,> Goods vehicles,Before 1960,Electricity,9,8,8,6,5,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,1,1,1,1,3,3,4,3,3,3,3
Switzerland,> Goods vehicles,Before 1960,Other,3,3,3,2,2,2,2,1,1,1,1,2,1,0,0,2,2,3,26,44,57,56,54,53,50,45,44,40,37,36,33,37
Switzerland,> Goods vehicles,Before 1960,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,1960 - 1979,Petrol,21881,17894,14279,11699,10190,10787,9570,8483,7684,7108,6460,5947,5503,5196,5004,4860,4550,4354,4160,3751,3402,3277,3199,3006,3009,3004,2963,2952,2953,2959,2953,2998
Switzerland,> Goods vehicles,1960 - 1979,Diesel,19065,16366,14001,11970,10673,9322,7898,6907,6056,5310,4281,3455,3004,2615,2294,2217,1944,1776,1506,1226,1148,1061,976,759,692,656,624,583,564,557,543,547
Switzerland,> Goods vehicles,1960 - 1979,Electricity,22,19,18,16,15,12,9,8,9,9,9,7,7,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Switzerland,> Goods vehicles,1960 - 1979,Other,6,5,5,28,61,86,87,52,31,17,15,14,0,2,2,30,47,14,113,174,230,231,236,226,215,195,174,151,140,134,127,121
Switzerland,> Goods vehicles,1960 - 1979,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,1980 - 1989,Petrol,120114,113310,104918,97295,90560,83899,76072,67812,60055,53231,45113,37708,31855,26677,22874,19932,16885,14747,12347,9830,7830,6724,5776,4866,4229,3776,3397,3136,2907,2653,2508,2403
Switzerland,> Goods vehicles,1980 - 1989,Diesel,70565,67915,64457,60824,57903,54981,50617,46621,42649,39034,33477,28130,24045,20613,18363,17150,14283,12390,9243,7145,6459,5651,4847,4114,3481,3018,2647,2384,2172,1974,1762,1639
Switzerland,> Goods vehicles,1980 - 1989,Electricity,10,10,13,10,8,6,6,4,4,4,3,3,3,2,3,4,2,2,3,2,2,2,2,2,2,2,2,3,4,4,4,4
Switzerland,> Goods vehicles,1980 - 1989,Other,13,12,11,70,253,361,433,309,224,160,102,76,5,5,5,41,39,34,122,64,104,121,116,95,75,55,41,27,24,21,17,18
Switzerland,> Goods vehicles,1980 - 1989,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,1990 - 1999,Petrol,10275,23514,34274,41882,50538,59422,66863,73498,80014,85727,85054,81366,76902,72309,67410,62704,57339,51445,45058,38706,33227,28481,23795,19364,16180,13390,11332,9691,8306,7218,6463,5926
Switzerland,> Goods vehicles,1990 - 1999,Diesel,9498,17896,23955,28993,35372,42744,50733,59805,69971,82693,83863,80277,76433,72109,68502,65548,60731,56354,46982,40024,35302,31196,27052,22703,19104,16111,13648,11691,9924,8429,7277,6478
Switzerland,> Goods vehicles,1990 - 1999,Electricity,0,7,9,26,29,25,36,39,48,62,63,59,49,49,45,40,34,32,28,24,21,22,16,13,10,9,3,3,4,4,3,3
Switzerland,> Goods vehicles,1990 - 1999,Other,0,0,0,13,50,96,117,103,88,63,51,63,34,31,30,43,47,57,104,124,167,147,130,107,80,64,56,49,43,38,32,32
Switzerland,> Goods vehicles,1990 - 1999,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,> Goods vehicles,2000 - 2004,Petrol,0,0,0,0,0,0,0,0,0,0,5614,11919,17277,20972,24358,24968,24775,24095,23147,22200,21111,19761,18303,16378,14529,12654,11068,9436,8012,6720,5821,5025
Switzerland,> Goods vehicles,2000 - 2004,Diesel,0,0,0,0,0,0,0,0,0,0,13780,35542,54352,71055,88507,92101,91179,88761,84349,80067,76405,72352,66640,60470,54372,47982,42271,36593,31404,26947,23446,20707
