"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","> Passenger cars","Petrol",185120,185807,185055,189151,182174,200576,211540,200576,185070,180875,185469,178666,183637,188847,192430,119097,100881
"Switzerland","> Passenger cars","Diesel",74114,80857,92333,93366,78755,90547,109324,124911,115656,113304,127899,125595,113848,90360,79618,51987,32680
"Switzerland","> Passenger cars","Petrol-electricity: conventional hybrid",604,1569,3219,3064,3875,4213,5325,5530,5966,5569,5458,7150,8186,10434,18133,27423,44815
"Switzerland","> Passenger cars","Petrol-electricity: plug-in hybrid",0,0,1,28,24,33,119,191,227,596,2218,2799,3378,4129,4380,14245,21217
"Switzerland","> Passenger cars","Diesel-electricity: conventional hybrid",0,1,0,0,0,4,17,956,684,516,835,490,181,794,3810,5334,9700
"Switzerland","> Passenger cars","Diesel-electricity: plug-in hybrid",0,0,0,1,1,0,1,31,281,212,274,148,101,75,53,194,572
"Switzerland","> Passenger cars","Electricity",13,9,19,24,57,201,452,924,1392,1948,3882,3525,4929,5411,13197,19765,32033
"Switzerland","> Passenger cars","Hydrogen",0,0,0,0,0,0,0,1,0,0,15,10,2,27,27,48,66
"Switzerland","> Passenger cars","Gas (monovalent and bivalent)",442,1064,1653,1136,1063,721,651,519,791,1041,1080,944,769,805,1252,571,296
"Switzerland","> Passenger cars","Other",389,441,1692,1201,529,302,526,406,87,22,13,4,1,5,2,0,3
"Switzerland","> Passenger cars","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Passenger car","Petrol",185113,185803,185054,189145,182168,200572,211528,200570,185046,180870,185464,178655,183635,188843,192424,119096,100880
"Switzerland","... Passenger car","Diesel",74091,80836,92320,93345,78728,90503,109277,124868,115629,113267,127857,125531,113794,90306,79578,51924,32626
"Switzerland","... Passenger car","Petrol-electricity: conventional hybrid",604,1569,3219,3064,3875,4213,5325,5530,5966,5569,5458,7150,8186,10434,18133,27423,44815
"Switzerland","... Passenger car","Petrol-electricity: plug-in hybrid",0,0,1,28,24,33,119,191,227,596,2218,2799,3378,4129,4380,14245,21217
"Switzerland","... Passenger car","Diesel-electricity: conventional hybrid",0,1,0,0,0,4,17,956,684,516,835,490,181,794,3810,5334,9700
"Switzerland","... Passenger car","Diesel-electricity: plug-in hybrid",0,0,0,1,1,0,1,31,281,212,274,148,101,75,53,194,572
"Switzerland","... Passenger car","Electricity",13,9,19,24,57,201,452,924,1392,1948,3882,3525,4929,5411,13197,19765,32033
"Switzerland","... Passenger car","Hydrogen",0,0,0,0,0,0,0,1,0,0,15,10,2,27,27,48,66
"Switzerland","... Passenger car","Gas (monovalent and bivalent)",442,1064,1653,1136,1063,721,651,519,791,1041,1080,944,769,805,1252,571,296
"Switzerland","... Passenger car","Other",389,435,1691,1201,529,302,526,406,87,22,13,4,1,5,2,0,3
"Switzerland","... Passenger car","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Petrol",7,4,1,6,6,4,12,6,24,5,5,11,2,4,6,1,1
"Switzerland","... Heavy passenger car","Diesel",23,21,13,21,27,44,47,43,27,37,42,64,54,54,40,63,54
"Switzerland","... Heavy passenger car","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Other",0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy passenger car","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","> Passenger vehicles","Petrol",137,137,157,133,65,55,46,58,57,40,56,70,61,78,41,27,100
"Switzerland","> Passenger vehicles","Diesel",2507,2473,2409,3045,2754,3014,3870,4228,4053,4110,4907,5069,5509,5472,6333,7601,9329
"Switzerland","> Passenger vehicles","Petrol-electricity: conventional hybrid",0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,3,3
"Switzerland","> Passenger vehicles","Petrol-electricity: plug-in hybrid",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Switzerland","> Passenger vehicles","Diesel-electricity: conventional hybrid",0,0,3,1,3,6,20,20,17,11,24,30,24,36,104,202,214
"Switzerland","> Passenger vehicles","Diesel-electricity: plug-in hybrid",0,0,0,1,0,0,1,0,4,1,0,0,0,0,1,1,0
"Switzerland","> Passenger vehicles","Electricity",2,2,0,1,1,2,3,3,4,3,3,2,8,20,13,30,68
"Switzerland","> Passenger vehicles","Hydrogen",0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Switzerland","> Passenger vehicles","Gas (monovalent and bivalent)",0,23,36,39,17,44,6,10,2,1,2,3,4,5,3,6,7
"Switzerland","> Passenger vehicles","Other",138,44,32,3,3,0,0,0,0,1,1,1,1,0,2,0,2
"Switzerland","> Passenger vehicles","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Light motor vehicle","Petrol",81,118,146,122,53,51,38,50,45,29,54,61,60,74,35,25,96
"Switzerland","... Light motor vehicle","Diesel",1232,1314,1396,1559,1516,1877,2542,2940,2902,3089,3537,3957,4407,4288,5205,6526,8215
"Switzerland","... Light motor vehicle","Petrol-electricity: conventional hybrid",0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,3,2
"Switzerland","... Light motor vehicle","Petrol-electricity: plug-in hybrid",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Switzerland","... Light motor vehicle","Diesel-electricity: conventional hybrid",0,0,0,1,1,2,0,1,1,0,1,0,0,0,1,4,0
"Switzerland","... Light motor vehicle","Diesel-electricity: plug-in hybrid",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Switzerland","... Light motor vehicle","Electricity",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8
"Switzerland","... Light motor vehicle","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Light motor vehicle","Gas (monovalent and bivalent)",0,0,1,0,0,4,6,6,0,0,1,0,1,0,1,1,0
"Switzerland","... Light motor vehicle","Other",114,37,25,3,1,0,0,0,0,1,1,1,1,0,2,0,2
"Switzerland","... Light motor vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Petrol",1,7,7,10,7,4,5,2,5,4,2,3,0,3,2,0,1
"Switzerland","... Heavy motor vehicle","Diesel",116,125,130,153,145,176,341,338,243,197,243,267,263,394,444,474,569
"Switzerland","... Heavy motor vehicle","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Switzerland","... Heavy motor vehicle","Petrol-electricity: plug-in hybrid",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Diesel-electricity: conventional hybrid",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Switzerland","... Heavy motor vehicle","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Switzerland","... Heavy motor vehicle","Electricity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Gas (monovalent and bivalent)",0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,5,2
"Switzerland","... Heavy motor vehicle","Other",8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Heavy motor vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Petrol",1,2,2,0,1,0,0,1,1,1,0,0,0,1,1,0,0
"Switzerland","... Coach, bus","Diesel",410,461,405,645,475,430,474,413,474,547,555,561,553,517,485,354,331
"Switzerland","... Coach, bus","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Diesel-electricity: conventional hybrid",0,0,0,0,0,4,19,18,16,10,21,8,11,31,96,150,169
"Switzerland","... Coach, bus","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Electricity",1,0,0,0,0,1,0,2,2,3,3,0,2,5,9,6,33
"Switzerland","... Coach, bus","Hydrogen",0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Gas (monovalent and bivalent)",0,12,17,18,13,11,0,4,0,0,0,3,2,3,1,0,5
"Switzerland","... Coach, bus","Other",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Coach, bus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Petrol",54,10,2,1,4,0,3,5,6,6,0,6,1,0,3,2,3
"Switzerland","... Minibus","Diesel",676,504,397,470,504,467,358,464,340,175,385,169,141,151,131,144,115
"Switzerland","... Minibus","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Switzerland","... Minibus","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Electricity",1,2,0,1,1,1,2,1,0,0,0,2,3,2,2,7,5
"Switzerland","... Minibus","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Gas (monovalent and bivalent)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Other",16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Minibus","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Articulated bus","Petrol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
