,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2002-01-16,7923,8224.0,8155.0,7975.0,7922.0,7917.0,8346.0,9020.0,9182.0,9184.0,9086.0,9137.0,9291.0,9407.0,9269.0,9189.0,9146.0,9290.0,9282.0,9087.0,9003.0,8460.0,8025.0,8023.0
2002-02-20,7238,7166.0,7040.0,6916.0,7004.0,7455.0,8233.0,8334.0,8500.0,8474.0,8435.0,8592.0,8677.0,8472.0,8438.0,8251.0,8278.0,8648.0,8434.0,8286.0,7723.0,7259.0,7255.0,7151.0
2002-03-20,6812,6734.0,6642.0,6461.0,6705.0,7052.0,7746.0,7796.0,7995.0,7910.0,7961.0,8133.0,8213.0,8079.0,8095.0,8003.0,7972.0,7919.0,8245.0,8107.0,7511.0,7057.0,6850.0,6790.0
2002-04-17,6703,6567.0,6715.0,6444.0,6540.0,6950.0,7741.0,7609.0,7637.0,7552.0,7536.0,7516.0,7484.0,7361.0,7425.0,7446.0,7453.0,7239.0,7190.0,7527.0,7219.0,6789.0,6669.0,6607.0
2002-05-15,5754,5583.0,5581.0,5365.0,5378.0,5743.0,6658.0,6777.0,6919.0,6837.0,6836.0,6987.0,6963.0,6651.0,6661.0,6764.0,6508.0,6287.0,6348.0,6288.0,6393.0,6117.0,5967.0,5829.0
2002-06-19,5549,5526.0,5400.0,5261.0,5441.0,5626.0,6573.0,6725.0,6863.0,6809.0,6813.0,6977.0,6926.0,6628.0,6680.0,6635.0,6553.0,6243.0,6257.0,6205.0,6111.0,6125.0,5926.0,5779.0
2002-07-17,5274,5222.0,5188.0,4999.0,5031.0,5342.0,6179.0,6404.0,6622.0,6665.0,6687.0,6835.0,6734.0,6419.0,6448.0,6496.0,6388.0,6017.0,5954.0,5842.0,5834.0,5651.0,5431.0,5319.0
2002-08-21,5254,5205.0,5127.0,4896.0,5067.0,5328.0,6157.0,6335.0,6505.0,6600.0,6653.0,6856.0,6687.0,6350.0,6393.0,6432.0,6316.0,5995.0,6079.0,6198.0,6218.0,5867.0,5614.0,5431.0
2002-09-18,5793,5683.0,5591.0,5513.0,5704.0,6319.0,7136.0,7198.0,7251.0,7224.0,7122.0,7140.0,7159.0,6877.0,6831.0,6995.0,6800.0,6656.0,6889.0,7320.0,6668.0,6254.0,5928.0,5941.0
2002-10-16,6594,6422.0,6339.0,6262.0,6447.0,7067.0,8034.0,5408.0,8116.0,8029.0,8010.0,8095.0,7977.0,7870.0,7820.0,7669.0,7802.0,7678.0,8165.0,7909.0,7257.0,6763.0,6549.0,6490.0
2002-11-20,6818,6633.0,6642.0,6484.0,6641.0,7172.0,8200.0,8181.0,8388.0,8225.0,8239.0,8498.0,8505.0,8270.0,8400.0,8409.0,9161.0,8673.0,8508.0,8415.0,7651.0,7297.0,7006.0,6966.0
2002-12-18,7964,7865.0,7751.0,7753.0,7866.0,8200.0,9148.0,9026.0,9316.0,9145.0,9103.0,9263.0,9172.0,9103.0,9148.0,9172.0,9763.0,9411.0,9260.0,9180.0,8443.0,8074.0,7833.0,7838.0
