,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2005-01-19,7655,7496.0,7365.0,7257.0,7349.0,8013.0,8561.0,9466.0,9459.0,9502.0,9514.0,9217.0,8942.0,8847.0,8976.0,8755.0,9014.0,9395.0,8963.0,8601.0,8262.0,8586.0,8448.0,7724.0
2005-02-16,8142,7924.0,7741.0,7581.0,7615.0,8150.0,8670.0,9200.0,9386.0,9535.0,9524.0,9505.0,9221.0,9221.0,9176.0,9133.0,8841.0,9482.0,9277.0,8858.0,8453.0,9104.0,8970.0,8388.0
2005-03-16,6839,6786.0,6730.0,6734.0,7081.0,7796.0,8230.0,8773.0,8793.0,8846.0,9076.0,8622.0,8486.0,8332.0,8193.0,8011.0,7805.0,8020.0,8451.0,8261.0,7729.0,7809.0,7491.0,7166.0
2005-04-20,6362,6246.0,6249.0,6210.0,6509.0,7184.0,7887.0,8428.0,8661.0,8672.0,8880.0,8442.0,8383.0,8402.0,8349.0,8155.0,7964.0,7959.0,7645.0,7681.0,7696.0,7639.0,7439.0,7012.0
2005-05-18,5708,5519.0,5469.0,5319.0,5704.0,6440.0,7486.0,8173.0,8306.0,8617.0,8551.0,8117.0,8161.0,8084.0,8070.0,7891.0,7610.0,7602.0,7282.0,7106.0,7169.0,7065.0,6748.0,6274.0
2005-06-15,5842,5568.0,5360.0,5212.0,5442.0,6165.0,7172.0,7919.0,8038.0,8158.0,8475.0,8144.0,7987.0,7797.0,7758.0,7645.0,7375.0,7285.0,6866.0,6650.0,6622.0,7067.0,6740.0,6036.0
2005-07-20,5455,5334.0,5111.0,4971.0,5177.0,5838.0,6543.0,7207.0,7464.0,7648.0,7827.0,7547.0,7540.0,7577.0,7569.0,7389.0,7124.0,6846.0,6500.0,6372.0,6435.0,6576.0,6286.0,6108.0
2005-08-17,5571,5313.0,5101.0,4875.0,5120.0,5894.0,6700.0,7220.0,7406.0,7700.0,7893.0,7686.0,7621.0,7673.0,7486.0,7463.0,7254.0,7053.0,6750.0,6684.0,7013.0,7023.0,6688.0,6086.0
2005-09-21,6055,5927.0,5751.0,5737.0,6031.0,6871.0,7768.0,8283.0,8294.0,8356.0,8609.0,8038.0,8018.0,7884.0,7916.0,7662.0,7361.0,7495.0,7372.0,7769.0,7474.0,7408.0,6950.0,6624.0
2005-10-19,6072,5955.0,5960.0,6122.0,6326.0,7044.0,7903.0,8662.0,8513.0,8760.0,8981.0,8737.0,8422.0,8486.0,8249.0,8190.0,7959.0,8071.0,8205.0,7865.0,7598.0,7609.0,7354.0,6751.0
2005-11-16,6706,6551.0,6494.0,6366.0,6642.0,7141.0,8220.0,8845.0,8723.0,8872.0,9035.0,8657.0,8766.0,8738.0,8761.0,8827.0,9116.0,9007.0,8472.0,8116.0,7869.0,7958.0,7524.0,7260.0
2005-12-21,7934,7819.0,7627.0,7473.0,7578.0,8178.0,8925.0,9512.0,9604.0,9634.0,9724.0,9331.0,9377.0,9301.0,9280.0,9336.0,9684.0,9658.0,9300.0,8954.0,8596.0,8633.0,8636.0,8482.0
