Name:,CHE CoalResource,,,,,,,
Date:,2021-08-06 16:54:30.411410,,,,,,,
Author:,Marc Jaxa-Rozen,,,,,,,
,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Note
CHE,CoalResource,Fuel_cost_fuel,1990,,103.5,USD1990/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1991,,100,USD1991/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1992,,90.1,USD1992/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1993,,76.5,USD1993/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1994,,79.6,USD1994/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1995,,101.5,USD1995/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1996,,99.8,USD1996/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1997,,84.5,USD1997/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1998,,84.3,USD1998/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,1999,,78.7,USD1999/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,2000,,85.9,USD2000/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,2001,,98.1,USD2001/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
CHE,CoalResource,Fuel_cost_fuel,2002,,88.1,USD2002/toe,IEA Energy prices and taxes,Steam Coal Prices for Industry in US Dollars/toe
