Name: CHE Import,,,,,,,,,
Date: 2021-11-17 20:26:05.291867,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,ImportResource,Fuel_cost_fuel,1990,,37.7625,EUR1990/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1991,,37.7625,EUR1991/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1992,,39.1375,EUR1992/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1993,,38.425,EUR1993/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1994,,38.025,EUR1994/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1995,,37.9375,EUR1995/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1996,,37.6,EUR1996/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1997,,36.975,EUR1997/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1998,,36.275,EUR1998/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
CHE,ImportResource,Fuel_cost_fuel,1999,,34.7875,EUR1999/MWh,"Maximum of Eurostat DS-018995 trade value, or 50% of arithmetic average of industrial power price in neighboring countries (Eurostat nrg_pc_205_h, band E)",,
