Name: CHE WasteResource,,,,,,,,,
Date: 2021-08-06 16:51:26.886916,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,WasteResource,Fuel_cost_fuel,1990,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1991,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1992,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1993,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1994,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1995,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1996,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1997,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1998,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,1999,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,2000,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,2001,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,2002,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
CHE,WasteResource,Fuel_cost_fuel,2003,,0.458,EUR2010/GJ,JRC ENSPRESO database,,
