Name: CHE HardCoal
Date: 2022-10-13 11:23:59.732179
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,HardCoal,Resource,1990,,CoalResource,,,,
CHE,HardCoal,Resource,1991,,CoalResource,,,,
CHE,HardCoal,Resource,1992,,CoalResource,,,,
CHE,HardCoal,Resource,1993,,CoalResource,,,,
CHE,HardCoal,Resource,1994,,CoalResource,,,,
CHE,HardCoal,Resource,1995,,CoalResource,,,,
CHE,HardCoal,Resource,1996,,CoalResource,,,,
CHE,HardCoal,Resource,1997,,CoalResource,,,,
CHE,HardCoal,Resource,1998,,CoalResource,,,,
CHE,HardCoal,Resource,1999,,CoalResource,,,,
CHE,HardCoal,Resource,2000,,CoalResource,,,,
CHE,HardCoal,Resource,2001,,CoalResource,,,,
CHE,HardCoal,Resource,2002,,CoalResource,,,,
CHE,HardCoal,Resource,2003,,CoalResource,,,,
CHE,HardCoal,Resource,2004,,CoalResource,,,,
CHE,HardCoal,Resource,2005,,CoalResource,,,,
CHE,HardCoal,Resource,2006,,CoalResource,,,,
CHE,HardCoal,Resource,2007,,CoalResource,,,,
CHE,HardCoal,Resource,2008,,CoalResource,,,,
CHE,HardCoal,Resource,2009,,CoalResource,,,,
CHE,HardCoal,Resource,2010,,CoalResource,,,,
CHE,HardCoal,Resource,2011,,CoalResource,,,,
CHE,HardCoal,Resource,2012,,CoalResource,,,,
CHE,HardCoal,Resource,2013,,CoalResource,,,,
CHE,HardCoal,Resource,2014,,CoalResource,,,,
CHE,HardCoal,Resource,2015,,CoalResource,,,,
CHE,HardCoal,Resource,2016,,CoalResource,,,,
CHE,HardCoal,Resource,2017,,CoalResource,,,,
CHE,HardCoal,Resource,2018,,CoalResource,,,,
CHE,HardCoal,Resource,2019,,CoalResource,,,,
CHE,HardCoal,LF_min,1990,,0.0,,Assumptions for testing,,
CHE,HardCoal,LF_min,1991,,0.5,,,,
CHE,HardCoal,LF_min,1992,,0.5,,,,
CHE,HardCoal,LF_min,1993,,0.5,,,,
CHE,HardCoal,LF_min,1994,,0.5,,,,
CHE,HardCoal,LF_min,1995,,0.5,,,,
CHE,HardCoal,LF_min,1996,,0.5,,,,
CHE,HardCoal,LF_min,1997,,0.5,,,,
CHE,HardCoal,LF_min,1998,,0.5,,,,
CHE,HardCoal,LF_min,1999,,0.5,,,,
CHE,HardCoal,LF_min,2000,,0.5,,,,
CHE,HardCoal,LF_min,2001,,0.5,,,,
CHE,HardCoal,LF_min,2002,,0.5,,,,
CHE,HardCoal,LF_min,2003,,0.5,,,,
CHE,HardCoal,LF_min,2004,,0.5,,,,
CHE,HardCoal,LF_min,2005,,0.5,,,,
CHE,HardCoal,LF_min,2006,,0.5,,,,
CHE,HardCoal,LF_min,2007,,0.5,,,,
CHE,HardCoal,LF_min,2008,,0.5,,,,
CHE,HardCoal,LF_min,2009,,0.5,,,,
CHE,HardCoal,LF_min,2010,,0.5,,,,
CHE,HardCoal,LF_min,2011,,0.5,,,,
CHE,HardCoal,LF_min,2012,,0.5,,,,
CHE,HardCoal,LF_min,2013,,0.5,,,,
CHE,HardCoal,LF_min,2014,,0.5,,,,
