Name: CHE HydroRoR
Date: 2022-10-13 11:23:59.874286
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,HydroRoR,Resource,1990,,HydroResource,,,,
CHE,HydroRoR,Resource,1991,,HydroResource,,,,
CHE,HydroRoR,Resource,1992,,HydroResource,,,,
CHE,HydroRoR,Resource,1993,,HydroResource,,,,
CHE,HydroRoR,Resource,1994,,HydroResource,,,,
CHE,HydroRoR,Resource,1995,,HydroResource,,,,
CHE,HydroRoR,Resource,1996,,HydroResource,,,,
CHE,HydroRoR,Resource,1997,,HydroResource,,,,
CHE,HydroRoR,Resource,1998,,HydroResource,,,,
CHE,HydroRoR,Resource,1999,,HydroResource,,,,
CHE,HydroRoR,Resource,2000,,HydroResource,,,,
CHE,HydroRoR,Resource,2001,,HydroResource,,,,
CHE,HydroRoR,Resource,2002,,HydroResource,,,,
CHE,HydroRoR,Resource,2003,,HydroResource,,,,
CHE,HydroRoR,Resource,2004,,HydroResource,,,,
CHE,HydroRoR,Resource,2005,,HydroResource,,,,
CHE,HydroRoR,Resource,2006,,HydroResource,,,,
CHE,HydroRoR,Resource,2007,,HydroResource,,,,
CHE,HydroRoR,Resource,2008,,HydroResource,,,,
CHE,HydroRoR,Resource,2009,,HydroResource,,,,
CHE,HydroRoR,Resource,2010,,HydroResource,,,,
CHE,HydroRoR,Resource,2011,,HydroResource,,,,
CHE,HydroRoR,Resource,2012,,HydroResource,,,,
CHE,HydroRoR,Resource,2013,,HydroResource,,,,
CHE,HydroRoR,Resource,2014,,HydroResource,,,,
CHE,HydroRoR,Resource,2015,,HydroResource,,,,
CHE,HydroRoR,Resource,2016,,HydroResource,,,,
CHE,HydroRoR,Resource,2017,,HydroResource,,,,
CHE,HydroRoR,Resource,2018,,HydroResource,,,,
CHE,HydroRoR,Resource,2019,,HydroResource,,,,
CHE,HydroRoR,LF_min,1990,,0,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1991,,0.259410345,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1992,,0.285397556,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1993,,0.280450733,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1994,,0.298386351,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1995,,0.302819901,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1996,,0.296544788,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1997,,0.279777654,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1998,,0.29173744,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,1999,,0.314572672,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,2000,,0.312078854,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,2001,,0.308141273,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,2002,,0.307264395,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
CHE,HydroRoR,LF_min,2003,,0.279244734,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,"Assumption - 80% of the minimum between synthetic ENTSO-E load factor for 1990-2017 climate years, and historical value"
