Name: CHE Import
Date: 2022-10-13 11:24:00.038392
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Import,Resource,1990,,ImportResource,,,,
CHE,Import,Resource,1991,,ImportResource,,,,
CHE,Import,Resource,1992,,ImportResource,,,,
CHE,Import,Resource,1993,,ImportResource,,,,
CHE,Import,Resource,1994,,ImportResource,,,,
CHE,Import,Resource,1995,,ImportResource,,,,
CHE,Import,Resource,1996,,ImportResource,,,,
CHE,Import,Resource,1997,,ImportResource,,,,
CHE,Import,Resource,1998,,ImportResource,,,,
CHE,Import,Resource,1999,,ImportResource,,,,
CHE,Import,Resource,2000,,ImportResource,,,,
CHE,Import,Resource,2001,,ImportResource,,,,
CHE,Import,Resource,2002,,ImportResource,,,,
CHE,Import,Resource,2003,,ImportResource,,,,
CHE,Import,Resource,2004,,ImportResource,,,,
CHE,Import,Resource,2005,,ImportResource,,,,
CHE,Import,Resource,2006,,ImportResource,,,,
CHE,Import,Resource,2007,,ImportResource,,,,
CHE,Import,Resource,2008,,ImportResource,,,,
CHE,Import,Resource,2009,,ImportResource,,,,
CHE,Import,Resource,2010,,ImportResource,,,,
CHE,Import,Resource,2011,,ImportResource,,,,
CHE,Import,Resource,2012,,ImportResource,,,,
CHE,Import,Resource,2013,,ImportResource,,,,
CHE,Import,Resource,2014,,ImportResource,,,,
CHE,Import,Resource,2015,,ImportResource,,,,
CHE,Import,Resource,2016,,ImportResource,,,,
CHE,Import,Resource,2017,,ImportResource,,,,
CHE,Import,Resource,2018,,ImportResource,,,,
CHE,Import,Resource,2019,,ImportResource,,,,
CHE,Import,LF_min,1990,,0,,Assumption,,
CHE,Import,LF_min,1991,,0,,,,
CHE,Import,LF_min,1992,,0,,,,
CHE,Import,LF_min,1993,,0,,,,
CHE,Import,LF_min,1994,,0,,,,
CHE,Import,LF_min,1995,,0,,,,
CHE,Import,LF_min,1996,,0,,,,
CHE,Import,LF_min,1997,,0,,,,
CHE,Import,LF_min,1998,,0,,,,
CHE,Import,LF_min,1999,,0,,,,
CHE,Import,LF_min,2000,,0,,,,
CHE,Import,LF_min,2001,,0,,,,
CHE,Import,LF_min,2002,,0,,,,
CHE,Import,LF_min,2003,,0,,,,
CHE,Import,LF_min,2004,,0,,,,
CHE,Import,LF_min,2005,,0,,,,
CHE,Import,LF_min,2006,,0,,,,
CHE,Import,LF_min,2007,,0,,,,
CHE,Import,LF_min,2008,,0,,,,
CHE,Import,LF_min,2009,,0,,,,
CHE,Import,LF_min,2010,,0,,,,
CHE,Import,LF_min,2011,,0,,,,
CHE,Import,LF_min,2012,,0,,,,
CHE,Import,LF_min,2013,,0,,,,
CHE,Import,LF_min,2014,,0,,,,
CHE,Import,LF_min,2015,,0,,,,
CHE,Import,LF_min,2016,,0,,,,
CHE,Import,LF_min,2017,,0,,,,
CHE,Import,LF_min,2018,,0,,,,
CHE,Import,LF_min,2019,,0,,,,
CHE,Import,LF_max,1990,,1,,Assumption,,
CHE,Import,LF_max,1991,,1,,,,
CHE,Import,LF_max,1992,,1,,,,
CHE,Import,LF_max,1993,,1,,,,
CHE,Import,LF_max,1994,,1,,,,
CHE,Import,LF_max,1995,,1,,,,
CHE,Import,LF_max,1996,,1,,,,
CHE,Import,LF_max,1997,,1,,,,
CHE,Import,LF_max,1998,,1,,,,
CHE,Import,LF_max,1999,,1,,,,
CHE,Import,LF_max,2000,,1,,,,
CHE,Import,LF_max,2001,,1,,,,
CHE,Import,LF_max,2002,,1,,,,
CHE,Import,LF_max,2003,,1,,,,
CHE,Import,LF_max,2004,,1,,,,
CHE,Import,LF_max,2005,,1,,,,
CHE,Import,LF_max,2006,,1,,,,
CHE,Import,LF_max,2007,,1,,,,
CHE,Import,LF_max,2008,,1,,,,
CHE,Import,LF_max,2009,,1,,,,
CHE,Import,LF_max,2010,,1,,,,
CHE,Import,LF_max,2011,,1,,,,
CHE,Import,LF_max,2012,,1,,,,
CHE,Import,LF_max,2013,,1,,,,
CHE,Import,LF_max,2014,,1,,,,
CHE,Import,LF_max,2015,,1,,,,
CHE,Import,LF_max,2016,,1,,,,
CHE,Import,LF_max,2017,,1,,,,
CHE,Import,LF_max,2018,,1,,,,
CHE,Import,LF_max,2019,,1,,,,
CHE,Import,Peak_contr,1990,,1,,Assumption,,
CHE,Import,Peak_contr,1991,,1,,,,
CHE,Import,Peak_contr,1992,,1,,,,
CHE,Import,Peak_contr,1993,,1,,,,
CHE,Import,Peak_contr,1994,,1,,,,
CHE,Import,Peak_contr,1995,,1,,,,
CHE,Import,Peak_contr,1996,,1,,,,
CHE,Import,Peak_contr,1997,,1,,,,
CHE,Import,Peak_contr,1998,,1,,,,
CHE,Import,Peak_contr,1999,,1,,,,
CHE,Import,Peak_contr,2000,,1,,,,
CHE,Import,Peak_contr,2001,,1,,,,
CHE,Import,Peak_contr,2002,,1,,,,
CHE,Import,Peak_contr,2003,,1,,,,
CHE,Import,Peak_contr,2004,,1,,,,
CHE,Import,Peak_contr,2005,,1,,,,
CHE,Import,Peak_contr,2006,,1,,,,
CHE,Import,Peak_contr,2007,,1,,,,
CHE,Import,Peak_contr,2008,,1,,,,
CHE,Import,Peak_contr,2009,,1,,,,
CHE,Import,Peak_contr,2010,,1,,,,
CHE,Import,Peak_contr,2011,,1,,,,
CHE,Import,Peak_contr,2012,,1,,,,
CHE,Import,Peak_contr,2013,,1,,,,
CHE,Import,Peak_contr,2014,,1,,,,
CHE,Import,Peak_contr,2015,,1,,,,
CHE,Import,Peak_contr,2016,,1,,,,
CHE,Import,Peak_contr,2017,,1,,,,
CHE,Import,Peak_contr,2018,,1,,,,
CHE,Import,Peak_contr,2019,,1,,,,
CHE,Import,Own_use,1990,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1991,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1992,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1993,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1994,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1995,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1996,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1997,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1998,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,1999,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2000,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2001,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2002,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2003,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2004,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
CHE,Import,Own_use,2005,,0.0,,Assumption - losses are instead included in aggregate national transmission/distribution losses,,
