Name: CHE WasteIncineration
Date: 2022-10-13 11:23:59.985320
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,WasteIncineration,Resource,1990,,WasteResource,,,,
CHE,WasteIncineration,Resource,1991,,WasteResource,,,,
CHE,WasteIncineration,Resource,1992,,WasteResource,,,,
CHE,WasteIncineration,Resource,1993,,WasteResource,,,,
CHE,WasteIncineration,Resource,1994,,WasteResource,,,,
CHE,WasteIncineration,Resource,1995,,WasteResource,,,,
CHE,WasteIncineration,Resource,1996,,WasteResource,,,,
CHE,WasteIncineration,Resource,1997,,WasteResource,,,,
CHE,WasteIncineration,Resource,1998,,WasteResource,,,,
CHE,WasteIncineration,Resource,1999,,WasteResource,,,,
CHE,WasteIncineration,Resource,2000,,WasteResource,,,,
CHE,WasteIncineration,Resource,2001,,WasteResource,,,,
CHE,WasteIncineration,Resource,2002,,WasteResource,,,,
CHE,WasteIncineration,Resource,2003,,WasteResource,,,,
CHE,WasteIncineration,Resource,2004,,WasteResource,,,,
CHE,WasteIncineration,Resource,2005,,WasteResource,,,,
CHE,WasteIncineration,Resource,2006,,WasteResource,,,,
CHE,WasteIncineration,Resource,2007,,WasteResource,,,,
CHE,WasteIncineration,Resource,2008,,WasteResource,,,,
CHE,WasteIncineration,Resource,2009,,WasteResource,,,,
CHE,WasteIncineration,Resource,2010,,WasteResource,,,,
CHE,WasteIncineration,Resource,2011,,WasteResource,,,,
CHE,WasteIncineration,Resource,2012,,WasteResource,,,,
CHE,WasteIncineration,Resource,2013,,WasteResource,,,,
CHE,WasteIncineration,Resource,2014,,WasteResource,,,,
CHE,WasteIncineration,Resource,2015,,WasteResource,,,,
CHE,WasteIncineration,Resource,2016,,WasteResource,,,,
CHE,WasteIncineration,Resource,2017,,WasteResource,,,,
CHE,WasteIncineration,Resource,2018,,WasteResource,,,,
CHE,WasteIncineration,Resource,2019,,WasteResource,,,,
CHE,WasteIncineration,LF_min,1990,,0,,Assumption for testing,,
CHE,WasteIncineration,LF_min,1991,,0.1,,,,
CHE,WasteIncineration,LF_min,1992,,0.1,,,,
CHE,WasteIncineration,LF_min,1993,,0.1,,,,
CHE,WasteIncineration,LF_min,1994,,0.1,,,,
CHE,WasteIncineration,LF_min,1995,,0.1,,,,
CHE,WasteIncineration,LF_min,1996,,0.1,,,,
CHE,WasteIncineration,LF_min,1997,,0.1,,,,
CHE,WasteIncineration,LF_min,1998,,0.1,,,,
CHE,WasteIncineration,LF_min,1999,,0.1,,,,
CHE,WasteIncineration,LF_min,2000,,0.1,,,,
CHE,WasteIncineration,LF_min,2001,,0.1,,,,
CHE,WasteIncineration,LF_min,2002,,0.1,,,,
CHE,WasteIncineration,LF_min,2003,,0.1,,,,
CHE,WasteIncineration,LF_min,2004,,0.1,,,,
CHE,WasteIncineration,LF_min,2005,,0.1,,,,
CHE,WasteIncineration,LF_min,2006,,0.1,,,,
CHE,WasteIncineration,LF_min,2007,,0.1,,,,
CHE,WasteIncineration,LF_min,2008,,0.1,,,,
CHE,WasteIncineration,LF_min,2009,,0.1,,,,
CHE,WasteIncineration,LF_min,2010,,0.1,,,,
CHE,WasteIncineration,LF_min,2011,,0.1,,,,
CHE,WasteIncineration,LF_min,2012,,0.1,,,,
CHE,WasteIncineration,LF_min,2013,,0.1,,,,
CHE,WasteIncineration,LF_min,2014,,0.1,,,,
CHE,WasteIncineration,LF_min,2015,,0.1,,,,
CHE,WasteIncineration,LF_min,2016,,0.1,,,,
CHE,WasteIncineration,LF_min,2017,,0.1,,,,
CHE,WasteIncineration,LF_min,2018,,0.1,,,,
CHE,WasteIncineration,LF_min,2019,,0.1,,,,
CHE,WasteIncineration,LF_max,1990,,1,,,,
CHE,WasteIncineration,LF_max,1991,,0.9,,,,
CHE,WasteIncineration,LF_max,1992,,0.9,,,,
CHE,WasteIncineration,LF_max,1993,,0.9,,,,
CHE,WasteIncineration,LF_max,1994,,0.9,,,,
CHE,WasteIncineration,LF_max,1995,,0.9,,,,
CHE,WasteIncineration,LF_max,1996,,0.9,,,,
CHE,WasteIncineration,LF_max,1997,,0.9,,,,
CHE,WasteIncineration,LF_max,1998,,0.9,,,,
CHE,WasteIncineration,LF_max,1999,,0.9,,,,
CHE,WasteIncineration,LF_max,2000,,0.9,,,,
CHE,WasteIncineration,LF_max,2001,,0.9,,,,
CHE,WasteIncineration,LF_max,2002,,0.9,,,,
CHE,WasteIncineration,LF_max,2003,,0.9,,,,
CHE,WasteIncineration,LF_max,2004,,0.9,,,,
CHE,WasteIncineration,LF_max,2005,,0.9,,,,
CHE,WasteIncineration,LF_max,2006,,0.9,,,,
CHE,WasteIncineration,LF_max,2007,,0.9,,,,
CHE,WasteIncineration,LF_max,2008,,0.9,,,,
CHE,WasteIncineration,LF_max,2009,,0.9,,,,
CHE,WasteIncineration,LF_max,2010,,0.9,,,,
CHE,WasteIncineration,LF_max,2011,,0.9,,,,
CHE,WasteIncineration,LF_max,2012,,0.9,,,,
CHE,WasteIncineration,LF_max,2013,,0.9,,,,
CHE,WasteIncineration,LF_max,2014,,0.9,,,,
CHE,WasteIncineration,LF_max,2015,,0.9,,DECC/Arup (2016) Review of RE cost and technical assumptions,,
CHE,WasteIncineration,LF_max,2016,,0.9,,,,
CHE,WasteIncineration,LF_max,2017,,0.9,,,,
CHE,WasteIncineration,LF_max,2018,,0.9,,,,
CHE,WasteIncineration,LF_max,2019,,0.9,,,,
CHE,WasteIncineration,Peak_contr,1990,,0.88,,"Royal Academy of Engineering (2014) GB electricity capacity margin, table 1",,Assumption from other thermal technologies
CHE,WasteIncineration,Peak_contr,1991,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1992,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1993,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1994,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1995,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1996,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1997,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1998,,0.88,,,,
CHE,WasteIncineration,Peak_contr,1999,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2000,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2001,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2002,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2003,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2004,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2005,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2006,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2007,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2008,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2009,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2010,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2011,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2012,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2013,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2014,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2015,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2016,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2017,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2018,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2019,,0.88,,,,
CHE,WasteIncineration,Peak_contr,2020,,0.88,,,,
CHE,WasteIncineration,Own_use,1990,,0.23136646,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1991,,0.25682183,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1992,,0.261560694,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1993,,0.267229255,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1994,,0.306451613,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1995,,0.302521008,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1996,,0.294701987,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1997,,0.309017224,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1998,,0.311219512,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,1999,,0.318342152,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2000,,0.307632399,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2001,,0.29321663,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2002,,0.291725105,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2003,,0.28228022,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2004,,0.276041667,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2005,,0.265432099,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2006,,0.257675439,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2007,,0.258533856,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2008,,0.253136934,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2009,,0.257661748,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2010,,0.250405625,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2011,,0.244004171,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
CHE,WasteIncineration,Own_use,2012,,0.237011381,,"Office federal de l'energie OFEN, Statistique global suisse de l'energie 2020",,Table 27
