Name:,GDP deflator data (linked series),,,,,
Date:,13.04.21,,,,,
Author:,Marc Jaxa-Rozen,,,,,
,,,,,,
Country,Parameter,Year,Value,Unit,Reference,Note
ALB,GDP,1985,0.025115484,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1986,0.024508367,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1987,0.024508292,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1988,0.02450815,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1989,0.024509052,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1990,0.024403327,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1991,0.033069985,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1992,0.110117978,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1993,0.248482114,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1994,0.337544254,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1995,0.371199653,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1996,0.512894399,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1997,0.570542098,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1998,0.60894098,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,1999,0.621749923,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2000,0.656840134,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2001,0.681891576,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2002,0.706740727,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2003,0.743470788,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2004,0.766941744,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2005,0.792277596,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2006,0.811931355,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2007,0.847574327,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2008,0.882470536,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2009,0.903849672,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2010,0.944460602,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2011,0.966322839,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2012,0.976396027,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2013,0.979215388,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2014,0.994392038,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2015,1,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2016,0.993675572,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2017,1.008094954,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2018,1.021799001,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2019,1.026675812,,World Bank indicator NY.GDP.DEFL.ZS.AD,
ALB,GDP,2020,1.01677066,,World Bank indicator NY.GDP.DEFL.ZS.AD,
AUT,GDP,1985,0.558532126,,World Bank indicator NY.GDP.DEFL.ZS.AD,
