,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2013-01-16,6276.0,6227.0,6218.0,6235.0,6206.0,6288.0,6678.0,7176.0,7390.0,7335.0,7355.0,7292.0,7208.0,7263.0,7054.0,7064.0,7111.0,7238.0,7280.0,6936.0,6634.0,6497.0,6498.0,6320.0
2013-02-20,6199.0,6261.0,6312.0,6366.0,6276.0,6217.0,6624.0,7063.0,7329.0,7410.0,7447.0,7478.0,7329.0,7362.0,7271.0,7212.0,7195.0,7150.0,7365.0,7133.0,6849.0,6547.0,6477.0,6380.0
2013-03-20,5841.0,5888.0,5884.0,5856.0,5780.0,6019.0,6351.0,6657.0,7066.0,7046.0,7205.0,7434.0,7254.0,7239.0,7125.0,6900.0,6757.0,6509.0,6792.0,6924.0,6486.0,6397.0,6223.0,5968.0
2013-04-17,4290.0,4162.0,3890.0,3742.0,3602.0,4131.0,4735.0,5088.0,5354.0,5336.0,5431.0,5580.0,5270.0,5454.0,5342.0,5153.0,4771.0,4539.0,4521.0,4542.0,4630.0,4722.0,4586.0,4229.0
2013-05-15,3951.0,3954.0,3966.0,3852.0,3632.0,3972.0,4244.0,4623.0,4915.0,4988.0,5133.0,5335.0,4954.0,5093.0,5075.0,4958.0,4902.0,4688.0,4626.0,4494.0,4334.0,4486.0,4368.0,3986.0
2013-06-19,4157.0,3896.0,3856.0,3763.0,3524.0,3594.0,4135.0,4727.0,5211.0,5402.0,5516.0,5707.0,5426.0,5528.0,5478.0,5411.0,5306.0,5036.0,4967.0,4707.0,4389.0,4626.0,4619.0,4275.0
2013-07-17,4229.0,4120.0,3982.0,3977.0,3738.0,3900.0,4140.0,4520.0,4876.0,4968.0,5177.0,5356.0,5060.0,5213.0,5182.0,5214.0,5054.0,4912.0,4700.0,4423.0,4274.0,4399.0,4391.0,4142.0
2013-08-21,4639.0,4684.0,4508.0,4276.0,4094.0,4472.0,4652.0,5016.0,5348.0,5478.0,5624.0,5858.0,5408.0,5518.0,5533.0,5459.0,5282.0,5039.0,4990.0,4844.0,4820.0,4986.0,4795.0,4380.0
2013-09-18,4638.0,4406.0,4258.0,4136.0,4091.0,4466.0,4860.0,5194.0,5565.0,5597.0,5741.0,5836.0,5159.0,5217.0,5205.0,5140.0,5037.0,5010.0,5098.0,5077.0,4943.0,4797.0,4695.0,4455.0
2013-10-16,4384.0,4344.0,4571.0,4495.0,4476.0,4863.0,5230.0,5563.0,5681.0,5624.0,5638.0,5729.0,5303.0,5421.0,5453.0,5371.0,5452.0,5477.0,5519.0,5492.0,5068.0,4951.0,4738.0,4582.0
2013-11-20,5572.0,5681.0,5753.0,5835.0,5683.0,5919.0,6156.0,6550.0,6811.0,6715.0,6758.0,6959.0,6839.0,6865.0,6917.0,6886.0,6976.0,6868.0,6659.0,6315.0,6083.0,5994.0,5832.0,5574.0
2013-12-18,6422.0,6431.0,6470.0,6348.0,6235.0,6094.0,6877.0,7487.0,7792.0,7757.0,7685.0,7705.0,7473.0,7406.0,7353.0,7335.0,7491.0,7719.0,7640.0,7397.0,7120.0,6919.0,6777.0,6470.0
