,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-15,7270.0,7099.0,6678.0,6565.0,6404.0,6063.0,6180.0,6663.0,6867.0,7035.0,7024.0,7051.0,7065.0,7014.0,6902.0,6845.0,7231.0,7671.0,7466.0,7003.0,6721.0,7266.0,7249.0,6943.0
2000-01-16,6865.0,6576.0,6448.0,6214.0,5986.0,5459.0,5310.0,5623.0,5971.0,6146.0,6359.0,6552.0,6449.0,6285.0,6169.0,6345.0,6716.0,7057.0,7022.0,6796.0,6516.0,7127.0,7076.0,6833.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-15,7270.0,7099.0,6678.0,6565.0,6404.0,6063.0,6180.0,6663.0,6867.0,7035.0,7024.0,7051.0,7065.0,7014.0,6902.0,6845.0,7231.0,7671.0,7466.0,7003.0,6721.0,7266.0,7249.0,6943.0
2000-01-16,6865.0,6576.0,6448.0,6214.0,5986.0,5459.0,5310.0,5623.0,5971.0,6146.0,6359.0,6552.0,6449.0,6285.0,6169.0,6345.0,6716.0,7057.0,7022.0,6796.0,6516.0,7127.0,7076.0,6833.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
2000-01-15,7270.0,7099.0,6678.0,6565.0,6404.0,6063.0,6180.0,6663.0,6867.0,7035.0,7024.0,7051.0,7065.0,7014.0,6902.0,6845.0,7231.0,7671.0,7466.0,7003.0,6721.0,7266.0,7249.0,6943.0
2000-01-16,6865.0,6576.0,6448.0,6214.0,5986.0,5459.0,5310.0,5623.0,5971.0,6146.0,6359.0,6552.0,6449.0,6285.0,6169.0,6345.0,6716.0,7057.0,7022.0,6796.0,6516.0,7127.0,7076.0,6833.0
2000-01-19,6913.0,6886.0,6770.0,6741.0,6831.0,7018.0,7949.0,8598.0,8700.0,8837.0,8867.0,8557.0,8449.0,8475.0,8403.0,8347.0,8458.0,8815.0,8503.0,7648.0,7331.0,7788.0,7644.0,7423.0
