,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2010-01-20,7338.0,7256.0,7173.0,7090.0,6987.0,7167.0,7361.0,7784.0,8339.0,8281.0,8281.0,8198.0,8066.0,8156.0,8100.0,7802.0,7738.0,7880.0,8144.0,7775.0,7268.0,7156.0,7264.0,6971.0
2010-02-17,7350.0,7284.0,7102.0,7149.0,7008.0,7168.0,7112.0,7622.0,8072.0,8186.0,8179.0,8296.0,7974.0,8149.0,8066.0,7619.0,7586.0,7501.0,8215.0,7979.0,7386.0,7372.0,7313.0,6984.0
2010-03-17,7077.0,7021.0,7090.0,6976.0,6845.0,7028.0,7368.0,7591.0,7774.0,7753.0,7710.0,7831.0,7754.0,7999.0,7807.0,7467.0,7366.0,7244.0,7479.0,7678.0,7322.0,7121.0,6963.0,6724.0
2010-04-21,5249.0,5080.0,5133.0,5455.0,5522.0,5524.0,5959.0,6372.0,6473.0,6589.0,6805.0,7040.0,6680.0,6882.0,6805.0,6537.0,6419.0,6166.0,6075.0,5960.0,5831.0,6135.0,5898.0,5385.0
2010-05-19,4970.0,5016.0,4973.0,5055.0,5054.0,5305.0,5426.0,5934.0,5991.0,5981.0,6157.0,6415.0,6152.0,6379.0,6195.0,5934.0,5816.0,5534.0,5466.0,5401.0,5434.0,5618.0,5443.0,5077.0
2010-06-16,4837.0,4877.0,4771.0,4631.0,4371.0,4473.0,4683.0,5300.0,5745.0,5867.0,6184.0,6316.0,5898.0,6099.0,5895.0,5817.0,5641.0,5341.0,5365.0,5170.0,4959.0,5038.0,4910.0,4512.0
2010-07-21,4659.0,4553.0,4399.0,4520.0,4325.0,4397.0,4467.0,5084.0,5335.0,5470.0,5674.0,5875.0,5472.0,5526.0,5530.0,5444.0,5395.0,5236.0,5207.0,4956.0,4726.0,5031.0,4910.0,4470.0
2010-08-18,4392.0,4369.0,4229.0,4131.0,3887.0,4128.0,4346.0,4712.0,4931.0,5126.0,5414.0,5596.0,5334.0,5236.0,5312.0,5255.0,5078.0,4884.0,4771.0,4611.0,4619.0,4763.0,4544.0,4101.0
2010-09-15,5041.0,5078.0,4905.0,4829.0,4766.0,4782.0,5200.0,5665.0,5804.0,5918.0,6164.0,6337.0,5948.0,5944.0,5925.0,5859.0,5805.0,5676.0,5737.0,5758.0,5677.0,5593.0,5302.0,4843.0
2010-10-20,5948.0,5759.0,5451.0,5468.0,5515.0,6025.0,6224.0,6836.0,6958.0,6858.0,7076.0,7020.0,6698.0,6689.0,6884.0,6927.0,6934.0,6580.0,6549.0,6656.0,6310.0,6119.0,5973.0,5623.0
2010-11-17,6050.0,6067.0,5874.0,5885.0,5838.0,6032.0,6286.0,6668.0,6941.0,6912.0,7029.0,6961.0,6663.0,6692.0,6692.0,6564.0,6645.0,7285.0,7401.0,6734.0,6301.0,6163.0,5973.0,5823.0
2010-12-15,7370.0,7309.0,7320.0,7367.0,7256.0,7288.0,7539.0,8144.0,8371.0,8382.0,8576.0,8340.0,8242.0,8254.0,8224.0,8109.0,8193.0,8552.0,8365.0,8077.0,7859.0,7488.0,7308.0,7260.0
