Name:,Nominal OECD exchange rate unless specified,,,,,
Date:,13.04.21,,,,,
Author:,Marc Jaxa-Rozen,,,,,
,,,,,,
Country,Parameter,Year,Value,Unit,Reference,Note
AUS,AUD,1990,0.780640125,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1991,0.778816199,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1992,0.734214391,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1993,0.678886626,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1994,0.73046019,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1995,0.740740741,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1996,0.783085356,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1997,0.741839763,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1998,0.628140704,USD,doi: 10.1787/037ed317-en,
AUS,AUD,1999,0.646412411,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2000,0.579038796,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2001,0.516795866,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2002,0.543183053,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2003,0.648508431,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2004,0.735835173,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2005,0.761614623,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2006,0.753012048,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2007,0.836820084,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2008,0.834724541,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2009,0.780031201,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2010,0.917431193,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2011,1.031991744,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2012,1.035196687,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2013,0.965250965,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2014,0.901713255,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2015,0.751314801,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2016,0.743494424,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2017,0.766283525,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2018,0.74682599,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2019,0.694927033,USD,doi: 10.1787/037ed317-en,
AUS,AUD,2020,0.688190987,USD,doi: 10.1787/037ed317-en,
AUS,ReferenceCurrency,1990,AUD,,,
AUS,ReferenceCurrency,1991,AUD,,,
AUS,ReferenceCurrency,1992,AUD,,,
AUS,ReferenceCurrency,1993,AUD,,,
AUS,ReferenceCurrency,1994,AUD,,,
AUS,ReferenceCurrency,1995,AUD,,,
AUS,ReferenceCurrency,1996,AUD,,,
AUS,ReferenceCurrency,1997,AUD,,,
AUS,ReferenceCurrency,1998,AUD,,,
AUS,ReferenceCurrency,1999,AUD,,,
AUS,ReferenceCurrency,2000,AUD,,,
AUS,ReferenceCurrency,2001,AUD,,,
AUS,ReferenceCurrency,2002,AUD,,,
AUS,ReferenceCurrency,2003,AUD,,,
AUS,ReferenceCurrency,2004,AUD,,,
AUS,ReferenceCurrency,2005,AUD,,,
AUS,ReferenceCurrency,2006,AUD,,,
AUS,ReferenceCurrency,2007,AUD,,,
AUS,ReferenceCurrency,2008,AUD,,,
AUS,ReferenceCurrency,2009,AUD,,,
AUS,ReferenceCurrency,2010,AUD,,,
AUS,ReferenceCurrency,2011,AUD,,,
