,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2008-01-16,6575.0,6526.0,6654.0,6721.0,6644.0,6596.0,6719.0,7032.0,7334.0,7351.0,7467.0,7469.0,7276.0,7339.0,7261.0,7028.0,7007.0,6968.0,6834.0,6897.0,6789.0,6589.0,6679.0,6667.0
2008-02-20,7017.0,6969.0,6955.0,7022.0,6888.0,7120.0,7413.0,7152.0,7424.0,7363.0,7344.0,7330.0,7167.0,7247.0,7126.0,7015.0,7018.0,6927.0,7042.0,6969.0,6837.0,6689.0,6832.0,6539.0
2008-03-19,6232.0,6177.0,6370.0,6366.0,6333.0,6351.0,6567.0,6343.0,6447.0,6469.0,6537.0,6637.0,6692.0,6666.0,6589.0,6366.0,6354.0,6166.0,6257.0,6510.0,6273.0,6352.0,6405.0,6168.0
2008-04-16,5958.0,5800.0,5753.0,5713.0,5737.0,5968.0,6290.0,6178.0,6298.0,6193.0,6232.0,6459.0,6210.0,6324.0,6247.0,6113.0,6029.0,5823.0,5714.0,5529.0,5771.0,6023.0,6163.0,5908.0
2008-05-21,4822.0,4652.0,4566.0,4484.0,4392.0,4641.0,4891.0,5162.0,5705.0,5826.0,5907.0,6036.0,5636.0,5573.0,5656.0,5566.0,5340.0,5117.0,5125.0,4925.0,5120.0,5222.0,5095.0,4774.0
2008-06-18,4539.0,4444.0,4425.0,4249.0,4188.0,4293.0,4572.0,4870.0,5091.0,5126.0,5276.0,5443.0,5067.0,5069.0,5031.0,4998.0,4909.0,4692.0,4714.0,4461.0,4439.0,4705.0,4812.0,4451.0
2008-07-16,4352.0,4495.0,4470.0,4386.0,4243.0,4234.0,4480.0,4744.0,4985.0,5221.0,5461.0,5403.0,5132.0,5171.0,5157.0,5087.0,5034.0,4705.0,4606.0,4287.0,4282.0,4572.0,4741.0,4396.0
2008-08-20,4493.0,4384.0,4319.0,4186.0,3969.0,4211.0,4570.0,5144.0,5550.0,5539.0,5776.0,5789.0,5372.0,5328.0,5332.0,5320.0,5185.0,4914.0,4757.0,4573.0,4614.0,4763.0,4686.0,4298.0
2008-09-17,4566.0,4364.0,4314.0,4202.0,4074.0,4373.0,5158.0,5708.0,5968.0,5908.0,6081.0,6088.0,5656.0,5563.0,5518.0,5496.0,5354.0,5162.0,5114.0,5217.0,5393.0,5287.0,5246.0,4732.0
2008-10-15,5914.0,5591.0,5451.0,5307.0,5358.0,5806.0,6170.0,6493.0,6709.0,6626.0,6683.0,6554.0,6353.0,6412.0,6462.0,6366.0,6275.0,6028.0,6193.0,6279.0,6182.0,6023.0,5942.0,5490.0
2008-11-19,6319.0,6441.0,6509.0,6509.0,6562.0,6564.0,6645.0,7281.0,7518.0,7477.0,7590.0,7463.0,6901.0,6956.0,6934.0,6926.0,6983.0,7086.0,7052.0,6730.0,6567.0,6428.0,6337.0,6020.0
2008-12-17,7031.0,7358.0,7348.0,7263.0,7107.0,7355.0,7462.0,7639.0,7899.0,7786.0,7899.0,7707.0,7449.0,7427.0,7433.0,7359.0,7425.0,7427.0,7279.0,7120.0,7170.0,7000.0,7192.0,7234.0
