Name: CHE Country data,,,,,,,,,
Date: 2021-11-17 20:26:05.263981,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,CountryData,BaseDem_central,1990,,2560.8,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1991,,2596.5,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1992,,2543.7,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1993,,2568.9,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1994,,2523,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1995,,2590.2,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1996,,2535.6,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1997,,2573.1,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1998,,2637.9,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,1999,,2729.7,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2000,,2708.1,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2001,,2820,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2002,,2880.3,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2003,,2877.6,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2004,,2896.8,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2005,,2934.9,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2006,,3054.3,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2007,,3013.5,MW,Assumption: 30% of peak,,
CHE,CountryData,BaseDem_central,2008,,3098,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2009,,3016,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2010,,3258,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2011,,2865,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2012,,2851,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2013,,2453,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2014,,2843,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2015,,2843,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2016,,4357,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2017,,4197,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2018,,4252,MW,ENTSOE annual statistics,,
CHE,CountryData,BaseDem_central,2019,,3722,MW,ENTSOE annual statistics,,
CHE,CountryData,Capacity_margin,1990,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1991,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1992,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1993,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1994,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1995,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1996,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1997,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1998,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,1999,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2000,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2001,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2002,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2003,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2004,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2005,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2006,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2007,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2008,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2009,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2010,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2011,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2012,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2013,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2014,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2015,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2016,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2017,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2018,,0.2,,Assumption,,
CHE,CountryData,Capacity_margin,2019,,0.2,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1990,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1991,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1992,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1993,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1994,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1995,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1996,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1997,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1998,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,1999,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2000,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2001,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2002,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2003,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2004,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2005,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2006,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2007,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2008,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2009,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2010,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2011,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2012,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2013,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2014,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2015,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2016,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2017,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2018,,0.035,,Assumption,,
CHE,CountryData,Discount_rate_uniform,2019,,0.035,,Assumption,,
CHE,CountryData,ElSupplied_annual_central,1990,,51966,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1991,,53282,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1992,,53059,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1993,,52114,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1994,,51818,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1995,,53087,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1996,,54174,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1997,,53846,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1998,,54994,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,1999,,56464,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2000,,58278,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2001,,59730,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2002,,60503,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2003,,62154,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2004,,62820,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2005,,64268,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2006,,64844,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2007,,63854,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2008,,65832,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2009,,64337,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2010,,66772,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2011,,65468,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
CHE,CountryData,ElSupplied_annual_central,2012,,65819,GWh,"Bundesamt fur Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,"Table 24, gross production plus net imports. Gross production seems to match IEA net values...check definitions"
