,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-01-15,6368.0,6165.0,6000.0,6010.0,5880.0,6176.0,6709.0,7290.0,7464.0,7396.0,7341.0,7261.0,7038.0,7040.0,7005.0,7001.0,7081.0,7343.0,7323.0,7005.0,6642.0,6423.0,6269.0,6026.0
2014-02-19,5922.0,6016.0,6151.0,6153.0,6108.0,6288.0,6543.0,6995.0,7206.0,7247.0,7360.0,7421.0,7151.0,7166.0,7086.0,7033.0,7010.0,6867.0,6937.0,6724.0,6536.0,6454.0,6346.0,6073.0
2014-03-19,5583.0,5376.0,5281.0,5186.0,5239.0,5690.0,5711.0,5900.0,6058.0,5986.0,6032.0,6132.0,5831.0,5767.0,5675.0,5682.0,5664.0,5603.0,5730.0,6040.0,5640.0,5462.0,5358.0,5185.0
2014-04-16,4622.0,4522.0,4395.0,4316.0,4288.0,4751.0,5323.0,5609.0,5803.0,5747.0,5807.0,5862.0,5481.0,5513.0,5382.0,5354.0,5279.0,5082.0,5056.0,4968.0,5092.0,5149.0,5008.0,4701.0
2014-05-21,4289.0,4208.0,4264.0,4187.0,3993.0,4116.0,4429.0,4873.0,5079.0,5072.0,5225.0,5389.0,4998.0,5072.0,5164.0,5113.0,4976.0,4868.0,4838.0,4697.0,4599.0,4733.0,4658.0,4526.0
2014-06-18,4409.0,4434.0,4463.0,4203.0,4013.0,4173.0,4615.0,5032.0,5304.0,5299.0,5403.0,5617.0,5282.0,5384.0,5371.0,5331.0,5241.0,5192.0,5077.0,4878.0,4698.0,4824.0,4824.0,4578.0
2014-07-16,3686.0,3880.0,3872.0,3765.0,3573.0,3541.0,3822.0,4133.0,4440.0,4514.0,4658.0,4766.0,4474.0,4616.0,4594.0,4568.0,4495.0,4338.0,4315.0,4150.0,4002.0,4113.0,4250.0,4022.0
2014-08-20,4285.0,4311.0,4330.0,4249.0,4024.0,4181.0,4422.0,4517.0,4868.0,4964.0,5211.0,5379.0,4974.0,5120.0,5029.0,4978.0,4843.0,4608.0,4549.0,4391.0,4280.0,4372.0,4258.0,3985.0
2014-09-17,4938.0,4974.0,4796.0,4653.0,4465.0,4791.0,5059.0,5450.0,5617.0,5598.0,5683.0,5918.0,5524.0,5602.0,5577.0,5546.0,5507.0,5464.0,5384.0,5280.0,5198.0,5235.0,5118.0,4593.0
2014-10-15,4714.0,4671.0,4590.0,4514.0,4363.0,4733.0,5078.0,5662.0,5753.0,5646.0,5707.0,5808.0,5432.0,5449.0,5398.0,5408.0,5354.0,5280.0,5514.0,5399.0,5174.0,5027.0,4880.0,4551.0
2014-11-19,4832.0,5062.0,5027.0,5022.0,4898.0,5116.0,5493.0,5988.0,6181.0,6022.0,6009.0,6045.0,5728.0,5809.0,5828.0,5828.0,6016.0,6285.0,6309.0,5960.0,5669.0,5448.0,5239.0,4940.0
2014-12-17,5603.0,5521.0,5545.0,5586.0,5504.0,5928.0,6374.0,7047.0,7315.0,7298.0,7356.0,7384.0,7203.0,7285.0,7375.0,7414.0,7461.0,7406.0,7093.0,6835.0,6513.0,6367.0,6188.0,5748.0
