,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-01-02,7064.11,7043.94,7184.27,7103.62,6971.97,6785.89,6779.81,6692.03,6816.85,7097.18,7204.67,7119.74,7516.05,7445.5,7306.63,7276.04,7504.45,8060.32,8156.98,7919.33,7545.05,7371.79,7378.48,7100.36
2015-01-03,6933.96,6926.69,6984.37,6915.96,6749.97,6854.61,6890.5,6874.12,6967.07,7212.83,7324.24,7389.93,7516.84,7700.15,7786.1,7985.12,8028.93,8169.24,8134.58,7827.11,7370.07,7137.13,7093.27,6950.75
2015-01-04,7047.15,6995.84,6842.28,6671.34,6533.07,6594.01,6527.96,6393.64,6684.05,6829.49,7013.48,7129.87,7165.59,7102.5,7048.45,7082.09,7474.16,8016.73,8060.95,7943.62,7633.11,7438.2,7293.15,7031.44
2015-01-05,6982.37,7181.63,7216.88,7346.43,7255.53,7483.76,7917.41,8725.17,9184.56,9253.57,9144.48,9076.77,8780.77,8719.99,8603.94,8721.13,8759.67,9220.45,9398.57,9077.72,8630.8,8318.47,8135.2,7755.17
2015-01-06,7536.97,7485.64,7443.5,7562.51,7432.66,7661.73,8098.49,8891.48,9309.86,9278.78,9228.67,9123.08,8880.14,8791.36,8636.44,8597.85,8777.21,9267.46,9386.23,9056.52,8572.17,8311.2,8125.85,7729.96
2015-01-07,7541.0,7509.15,7347.75,7416.96,7338.64,7533.95,8238.11,9093.1,9535.99,9516.81,9494.75,9428.24,9118.17,9015.56,8856.17,8755.58,8913.9,9385.27,9460.62,9117.16,8619.89,8285.99,8074.64,7682.16
2015-01-08,7563.07,7477.91,7353.63,7239.89,7057.63,7413.37,8111.59,9035.32,9432.37,9404.06,9390.31,9309.95,8904.51,8844.82,8735.56,8670.1,8818.77,9168.87,9224.32,8820.64,8379.92,8014.38,7785.33,7341.05
2015-01-09,7073.29,6936.42,6844.58,6769.98,6727.72,7062.16,7832.37,8749.27,9242.43,9246.09,9301.03,9397.97,9086.26,9013.71,8929.07,8757.89,8791.35,9035.12,9003.41,8588.64,8056.1,7719.38,7598.26,7167.55
2015-01-10,6821.08,6724.62,6660.94,6607.35,6411.92,6487.43,6616.8,6403.79,6795.5,7062.09,7115.68,7098.8,7053.5,7240.69,6984.91,6998.12,7061.65,7680.49,7899.59,7489.08,7098.13,6879.52,6867.95,6728.13
2015-01-11,6448.66,6424.08,6469.74,6413.67,6313.86,6442.28,6448.61,6460.31,6725.7,7117.96,7229.7,7321.4,7372.32,7330.51,7212.78,7110.86,7078.24,7760.21,8065.79,7943.51,7494.34,7215.36,7204.14,7004.57
2015-01-12,7248.88,7245.72,7184.68,7092.54,7134.3,7439.82,7987.55,8915.3,9411.78,9401.06,9351.9,9346.74,8927.44,8946.62,8829.03,8775.05,8847.47,9206.79,9373.45,9005.54,8475.72,8179.44,7938.58,7525.49
2015-01-13,7368.28,7296.06,7214.98,7133.28,7113.65,7338.33,8157.58,9102.21,9481.85,9391.99,9315.19,9217.51,8733.02,8674.78,8547.28,8474.53,8568.36,8969.31,9162.11,8721.01,8229.54,7940.84,7689.37,7175.82
2015-01-14,6929.89,6785.98,6731.8,6698.0,6564.49,6978.62,7783.45,8762.53,9302.24,9401.13,9585.37,9676.18,9265.62,9210.91,9113.79,8994.58,8988.32,9250.15,9302.44,8887.78,8378.44,8102.76,7861.71,7506.88
2015-01-15,7331.56,7257.37,7322.38,7296.84,7035.37,7254.08,8062.3,9004.35,9398.8,9302.86,9291.53,9324.04,8912.96,8895.33,8739.56,8565.21,8607.48,9045.4,9210.63,8844.64,8382.5,8074.02,7812.62,7348.65
2015-01-16,7195.81,7130.08,7076.18,7008.05,6770.2,7109.4,7886.83,8810.64,9302.56,9326.9,9374.36,9293.3,9025.5,9044.43,8904.22,8757.14,8715.09,9032.96,9068.92,8671.63,8222.35,7912.16,7798.22,7488.02
2015-01-17,7305.29,7243.15,7121.8,7272.54,7161.11,7092.07,7003.69,6908.27,7414.96,7816.51,8025.74,8072.81,8107.96,8086.71,7976.97,7913.71,7991.32,8429.88,8534.65,8289.67,7865.99,7617.06,7570.87,7291.48
2015-01-18,7242.01,7222.78,7085.17,7009.2,7022.11,6960.3,6727.92,6688.51,6993.67,7200.29,7231.18,7255.11,7549.72,7321.55,7412.23,7215.08,7320.29,7963.14,8350.66,8202.07,7841.81,7672.98,7597.11,7240.26
2015-01-19,7165.81,7258.79,7307.46,7283.54,7080.19,7457.52,8164.15,9148.63,9623.79,9677.98,9697.24,9638.01,9307.83,9344.74,9290.13,9228.32,9291.13,9521.89,9606.42,9169.72,8715.55,8418.91,8197.68,7742.58
2015-01-20,7516.15,7539.49,7453.18,7336.21,7114.75,7448.18,8247.06,9183.55,9634.95,9632.82,9663.36,9659.12,9281.43,9336.94,9259.91,9198.47,9235.56,9455.89,9480.54,9163.05,8632.31,8376.54,8152.74,7712.6
2015-01-21,7465.01,7428.29,7357.94,7410.46,7310.38,7666.92,8221.4,9219.79,9663.68,9692.69,9757.2,9761.84,9467.31,9490.2,9349.47,9278.68,9350.2,9565.62,9643.75,9252.21,8809.32,8510.91,8291.62,7898.36
2015-01-22,7688.58,7632.0,7541.33,7359.5,7164.34,7482.76,8263.11,9215.97,9672.25,9764.49,9878.01,9870.46,9514.55,9540.75,9410.98,9298.94,9372.19,9508.45,9630.51,9181.02,8683.2,8413.21,8217.64,7838.89
2015-01-23,7616.56,7541.31,7483.68,7434.23,7301.72,7573.04,8263.86,9237.06,9742.19,9828.51,9912.12,9856.1,9575.23,9547.06,9374.18,9235.37,9157.7,9382.04,9446.56,9058.73,8567.62,8258.52,8129.39,7845.06
2015-01-24,7643.68,7526.98,7486.51,7413.25,7122.91,7193.95,7009.76,7106.3,7587.86,7885.83,8013.48,7999.17,8038.61,7986.51,7942.06,8016.8,8063.9,8487.2,8643.87,8411.78,7996.92,7803.86,7707.38,7439.8
2015-01-25,7248.73,7033.46,7105.73,7182.12,7018.66,7153.5,6851.16,6550.82,6743.53,6996.93,7129.36,7265.35,7452.21,7242.55,7102.38,7254.06,7493.94,7859.96,8374.54,8232.37,7862.49,7616.5,7552.94,7265.36
2015-01-26,7218.19,7256.22,7266.15,7504.92,7462.18,7644.41,8324.13,9243.78,9701.89,9786.42,9856.74,9815.84,9541.67,9679.66,9599.41,9505.28,9468.24,9665.46,9778.0,9414.46,8933.12,8634.37,8377.02,7992.04
2015-01-27,7798.16,7721.9,7567.86,7497.25,7435.8,7601.02,8350.01,9215.82,9639.34,9615.95,9699.0,9665.59,9282.35,9297.33,9194.22,9135.74,9156.05,9344.18,9574.6,9199.97,8725.2,8402.87,8183.6,7771.43
2015-01-28,7667.79,7723.06,7699.16,7640.5,7517.49,7713.65,8380.33,9256.91,9676.6,9670.4,9713.93,9648.22,9367.14,9400.86,9318.04,9123.83,9110.05,9386.43,9683.92,9295.27,8767.92,8409.12,8196.82,7770.36
2015-01-29,7534.04,7541.98,7450.28,7499.28,7284.89,7625.87,8321.24,9206.25,9654.69,9694.99,9968.08,9774.54,9450.72,9507.32,9404.13,9286.57,9284.92,9442.33,9589.23,9227.37,8706.67,8322.94,8124.22,7868.46
2015-01-30,7957.61,8234.2,8042.38,8004.54,7940.52,8057.91,8236.24,9125.96,9599.88,9772.43,9850.27,9735.29,9452.75,9417.8,9232.68,9001.35,8946.0,9228.78,9514.94,9240.7,8723.71,8359.24,8176.28,7886.59
2015-01-31,7702.54,7685.81,7561.77,7488.46,7137.37,7151.22,7131.86,7197.77,7544.5,7805.02,7857.6,7786.6,7806.05,7798.45,7831.61,7734.99,7892.28,8311.79,8616.98,8311.84,7897.54,7638.35,7629.37,7459.92
2015-02-01,6740.57,6844.11,6968.33,6940.88,6684.84,6718.26,6583.34,6542.39,6800.43,6942.58,6851.03,6862.96,7066.91,7254.18,7206.21,7188.04,7053.44,7354.63,7784.98,7648.4,7298.09,7072.71,6989.85,6651.29
2015-02-02,6706.15,6971.06,7005.29,6970.65,6860.41,7090.97,7587.31,8398.32,8936.09,9034.06,9086.16,9062.59,8797.38,8807.54,8674.83,8554.81,8509.56,8650.81,8955.28,8656.71,8195.88,7857.05,7662.81,7255.65
2015-02-03,7117.55,7253.0,7265.48,7268.74,7035.82,7291.03,7919.17,8666.21,9072.46,9083.04,9112.19,9030.02,8762.49,8788.11,8654.76,8565.05,8520.65,8682.54,8974.46,8682.9,8229.3,7923.82,7712.5,7429.14
2015-02-04,7217.63,7316.68,7097.08,7218.29,6969.65,7154.62,7741.01,8537.68,8949.07,9011.73,9067.37,8980.84,8752.34,8790.33,8655.82,8555.08,8516.43,8668.73,8944.52,8644.09,8154.98,7797.27,7633.85,7337.93
2015-02-05,7242.44,7285.54,7113.29,7110.75,6886.03,7010.31,7701.28,8548.07,9012.08,9127.29,9252.35,9187.95,9086.69,9205.19,9129.63,8992.71,8918.16,8933.18,9063.93,8750.28,8277.54,7874.14,7760.09,7517.83
2015-02-06,7441.95,7406.19,7231.43,7400.17,7180.7,7270.27,7754.19,8575.98,9074.85,9240.9,9303.3,9221.56,9062.32,9092.95,8939.64,8741.81,8586.83,8726.03,8946.67,8598.79,8090.45,7736.14,7665.79,7443.34
2015-02-07,7353.07,7312.34,7176.21,7056.85,6896.47,6704.8,6629.91,6664.29,7083.13,7474.91,7605.11,7587.08,7649.42,8729.75,7552.74,7448.42,7427.34,7694.55,8092.01,7856.99,7503.5,7264.55,7291.54,7137.56
2015-02-08,7096.96,7022.11,6853.05,6973.54,6816.44,6761.56,6536.32,6346.86,6631.2,6740.97,6913.67,6920.7,7210.98,7092.22,6974.57,6865.41,7027.78,7169.54,7765.24,7706.64,7381.74,7190.36,7257.53,7135.87
2015-02-09,7022.99,6921.88,6853.41,7126.38,6813.93,7064.28,7773.64,8541.91,8983.31,9071.45,9115.18,8998.2,8746.44,8734.54,8591.84,8484.53,8412.02,8371.63,8898.59,8669.21,8211.54,7895.55,7733.05,7440.79
2015-02-10,7376.2,7412.81,7243.03,7231.79,7283.49,7197.9,7979.63,8694.15,9043.49,8967.38,8897.77,8765.68,8467.74,8413.73,8331.89,8282.41,8242.5,8196.21,8788.6,8545.66,8107.08,7750.54,7562.35,7339.04
2015-02-11,7213.92,7206.16,7199.81,7363.76,7235.87,7342.03,7845.98,8524.41,8915.27,8909.3,8881.2,8854.26,8494.51,8372.58,8211.03,8095.54,8052.12,8195.76,8779.77,8575.6,8153.57,7804.72,7661.07,7364.3
2015-02-12,7124.06,7142.02,7111.28,7238.5,7036.89,7232.0,7673.57,8326.49,9725.11,8683.96,8684.04,8566.08,8280.22,8253.34,8020.34,7868.51,7883.95,8093.19,8614.3,8406.82,7933.67,7617.61,7505.5,7186.83
2015-02-13,7858.21,6859.94,6756.55,6827.09,6805.1,6857.98,7404.66,8026.38,8369.49,8393.63,8373.82,8181.07,7964.79,7857.88,7657.66,7478.77,7392.21,7558.99,8068.39,7909.32,7436.99,7090.52,6955.95,6869.77
2015-02-14,6930.96,7003.39,7033.64,6861.45,6631.42,6601.55,6625.27,6641.52,6896.04,6902.01,6824.64,6788.06,6782.28,6780.73,7107.25,7049.71,6962.32,7088.34,7444.3,7204.74,6807.49,6813.07,6820.44,6570.65
2015-02-15,6378.01,6444.63,6602.21,6665.23,6445.3,6435.15,6253.1,6190.42,6430.02,6508.58,6654.64,6738.05,6727.4,6725.04,6662.61,6633.65,6807.89,6930.79,7354.74,7263.61,6951.89,6718.26,6569.74,6417.27
