Name:,CHE GasResource,,,,,,,,
Date:,2021-08-06 16:55:23.235647,,,,,,,,
Author:,Marc Jaxa-Rozen,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Note,
CHE,GasResource,Fuel_cost_fuel,1990,,0.035,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1991,,0.039,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1992,,0.041,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1993,,0.041,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1994,,0.038,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1995,,0.037,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1996,,0.036,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1997,,0.037,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1998,,0.038,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,1999,,0.035,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2000,,0.036,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2001,,0.047,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2002,,0.043,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2003,,0.042,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2004,,0.042,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2005,,0.047,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2006,,0.055,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2007,,0.059,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2008,,0.065,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2009,,0.064,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2010,,0.057,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2011,,0.062,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2012,,0.066,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2013,,0.066,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2014,,0.068,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2015,,0.068,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2016,,0.075,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2017,,0.073,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2018,,0.076,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,Fuel_cost_fuel,2019,,0.081,CHF2010/kWh,"Bundesamt für Energie BFE, Schweizerische Gesamtenergiestatistik 2020",,Table 39
CHE,GasResource,CO2_generation,1990,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1991,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1992,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1993,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1994,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1995,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1996,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1997,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1998,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
CHE,GasResource,CO2_generation,1999,,202,tonne/GWh,"IPCC 2006 Guidelines for National Greenhouse Gas Inventories, http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol2.html",Natural gas,
