Name: CHE Gas
Date: 2022-10-13 11:23:59.753166
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Gas,Resource,1990,,GasResource,,,,
CHE,Gas,Resource,1991,,GasResource,,,,
CHE,Gas,Resource,1992,,GasResource,,,,
CHE,Gas,Resource,1993,,GasResource,,,,
CHE,Gas,Resource,1994,,GasResource,,,,
CHE,Gas,Resource,1995,,GasResource,,,,
CHE,Gas,Resource,1996,,GasResource,,,,
CHE,Gas,Resource,1997,,GasResource,,,,
CHE,Gas,Resource,1998,,GasResource,,,,
CHE,Gas,Resource,1999,,GasResource,,,,
CHE,Gas,Resource,2000,,GasResource,,,,
CHE,Gas,Resource,2001,,GasResource,,,,
CHE,Gas,Resource,2002,,GasResource,,,,
CHE,Gas,Resource,2003,,GasResource,,,,
CHE,Gas,Resource,2004,,GasResource,,,,
CHE,Gas,Resource,2005,,GasResource,,,,
CHE,Gas,Resource,2006,,GasResource,,,,
CHE,Gas,Resource,2007,,GasResource,,,,
CHE,Gas,Resource,2008,,GasResource,,,,
CHE,Gas,Resource,2009,,GasResource,,,,
CHE,Gas,Resource,2010,,GasResource,,,,
CHE,Gas,Resource,2011,,GasResource,,,,
CHE,Gas,Resource,2012,,GasResource,,,,
CHE,Gas,Resource,2013,,GasResource,,,,
CHE,Gas,Resource,2014,,GasResource,,,,
CHE,Gas,Resource,2015,,GasResource,,,,
CHE,Gas,Resource,2016,,GasResource,,,,
CHE,Gas,Resource,2017,,GasResource,,,,
CHE,Gas,Resource,2018,,GasResource,,,,
CHE,Gas,Resource,2019,,GasResource,,,,
CHE,Gas,LF_min,1990,,0.0,,Assumptions for testing,,
CHE,Gas,LF_min,1991,,0.2,,,,
CHE,Gas,LF_min,1992,,0.2,,,,
CHE,Gas,LF_min,1993,,0.2,,,,
CHE,Gas,LF_min,1994,,0.2,,,,
CHE,Gas,LF_min,1995,,0.2,,,,
CHE,Gas,LF_min,1996,,0.2,,,,
CHE,Gas,LF_min,1997,,0.2,,,,
CHE,Gas,LF_min,1998,,0.2,,,,
CHE,Gas,LF_min,1999,,0.2,,,,
CHE,Gas,LF_min,2000,,0.2,,,,
CHE,Gas,LF_min,2001,,0.2,,,,
CHE,Gas,LF_min,2002,,0.2,,,,
CHE,Gas,LF_min,2003,,0.2,,,,
CHE,Gas,LF_min,2004,,0.2,,,,
CHE,Gas,LF_min,2005,,0.2,,,,
CHE,Gas,LF_min,2006,,0.2,,,,
CHE,Gas,LF_min,2007,,0.2,,,,
CHE,Gas,LF_min,2008,,0.2,,,,
CHE,Gas,LF_min,2009,,0.2,,,,
CHE,Gas,LF_min,2010,,0.2,,,,
CHE,Gas,LF_min,2011,,0.2,,,,
CHE,Gas,LF_min,2012,,0.2,,,,
CHE,Gas,LF_min,2013,,0.2,,,,
CHE,Gas,LF_min,2014,,0.2,,,,
CHE,Gas,LF_min,2015,,0.2,,,,
CHE,Gas,LF_min,2016,,0.2,,,,
CHE,Gas,LF_min,2017,,0.2,,,,
CHE,Gas,LF_min,2018,,0.2,,,,
CHE,Gas,LF_min,2019,,0.2,,,,
CHE,Gas,LF_max,1990,,1.1,,Assumptions for testing,,
CHE,Gas,LF_max,1991,,0.85,,,,
CHE,Gas,LF_max,1992,,0.85,,,,
CHE,Gas,LF_max,1993,,0.85,,,,
CHE,Gas,LF_max,1994,,0.85,,,,
CHE,Gas,LF_max,1995,,0.85,,,,
CHE,Gas,LF_max,1996,,0.85,,,,
CHE,Gas,LF_max,1997,,0.85,,,,
CHE,Gas,LF_max,1998,,0.85,,,,
CHE,Gas,LF_max,1999,,0.85,,,,
CHE,Gas,LF_max,2000,,0.85,,,,
CHE,Gas,LF_max,2001,,0.85,,,,
CHE,Gas,LF_max,2002,,0.85,,,,
CHE,Gas,LF_max,2003,,0.85,,,,
CHE,Gas,LF_max,2004,,0.85,,,,
CHE,Gas,LF_max,2005,,0.85,,,,
CHE,Gas,LF_max,2006,,0.85,,,,
CHE,Gas,LF_max,2007,,0.85,,,,
CHE,Gas,LF_max,2008,,0.85,,,,
CHE,Gas,LF_max,2009,,0.85,,,,
CHE,Gas,LF_max,2010,,0.85,,,,
CHE,Gas,LF_max,2011,,0.85,,,,
CHE,Gas,LF_max,2012,,0.85,,,,
CHE,Gas,LF_max,2013,,0.85,,,,
CHE,Gas,LF_max,2014,,0.85,,,,
CHE,Gas,LF_max,2015,,0.85,,,,
CHE,Gas,LF_max,2016,,0.85,,,,
CHE,Gas,LF_max,2017,,0.85,,,,
CHE,Gas,LF_max,2018,,0.85,,,,
CHE,Gas,LF_max,2019,,0.85,,,,
CHE,Gas,Peak_contr,1990,,0.85,,"Royal Academy of Engineering (2014) GB electricity capacity margin, table 1",,
CHE,Gas,Peak_contr,1991,,0.85,,,,
CHE,Gas,Peak_contr,1992,,0.85,,,,
CHE,Gas,Peak_contr,1993,,0.85,,,,
CHE,Gas,Peak_contr,1994,,0.85,,,,
CHE,Gas,Peak_contr,1995,,0.85,,,,
CHE,Gas,Peak_contr,1996,,0.85,,,,
CHE,Gas,Peak_contr,1997,,0.85,,,,
CHE,Gas,Peak_contr,1998,,0.85,,,,
CHE,Gas,Peak_contr,1999,,0.85,,,,
CHE,Gas,Peak_contr,2000,,0.85,,,,
CHE,Gas,Peak_contr,2001,,0.85,,,,
CHE,Gas,Peak_contr,2002,,0.85,,,,
CHE,Gas,Peak_contr,2003,,0.85,,,,
CHE,Gas,Peak_contr,2004,,0.85,,,,
CHE,Gas,Peak_contr,2005,,0.85,,,,
CHE,Gas,Peak_contr,2006,,0.85,,,,
CHE,Gas,Peak_contr,2007,,0.85,,,,
CHE,Gas,Peak_contr,2008,,0.85,,,,
CHE,Gas,Peak_contr,2009,,0.85,,,,
CHE,Gas,Peak_contr,2010,,0.85,,,,
CHE,Gas,Peak_contr,2011,,0.85,,,,
CHE,Gas,Peak_contr,2012,,0.85,,,,
CHE,Gas,Peak_contr,2013,,0.85,,,,
CHE,Gas,Peak_contr,2014,,0.85,,,,
CHE,Gas,Peak_contr,2015,,0.85,,,,
CHE,Gas,Peak_contr,2016,,0.85,,,,
CHE,Gas,Peak_contr,2017,,0.85,,,,
CHE,Gas,Peak_contr,2018,,0.85,,,,
CHE,Gas,Peak_contr,2019,,0.85,,,,
CHE,Gas,Own_use,1990,,0.05,,Assumption,,
CHE,Gas,Own_use,1991,,0.05,,Assumption,,
CHE,Gas,Own_use,1992,,0.05,,Assumption,,
CHE,Gas,Own_use,1993,,0.05,,Assumption,,
CHE,Gas,Own_use,1994,,0.05,,Assumption,,
CHE,Gas,Own_use,1995,,0.05,,Assumption,,
CHE,Gas,Own_use,1996,,0.05,,Assumption,,
CHE,Gas,Own_use,1997,,0.05,,Assumption,,
CHE,Gas,Own_use,1998,,0.05,,Assumption,,
CHE,Gas,Own_use,1999,,0.05,,Assumption,,
CHE,Gas,Own_use,2000,,0.05,,Assumption,,
CHE,Gas,Own_use,2001,,0.05,,Assumption,,
CHE,Gas,Own_use,2002,,0.05,,Assumption,,
CHE,Gas,Own_use,2003,,0.05,,Assumption,,
CHE,Gas,Own_use,2004,,0.05,,Assumption,,
CHE,Gas,Own_use,2005,,0.05,,Assumption,,
CHE,Gas,Own_use,2006,,0.05,,Assumption,,
CHE,Gas,Own_use,2007,,0.05,,Assumption,,
CHE,Gas,Own_use,2008,,0.05,,Assumption,,
CHE,Gas,Own_use,2009,,0.05,,Assumption,,
CHE,Gas,Own_use,2010,,0.05,,Assumption,,
CHE,Gas,Own_use,2011,,0.05,,Assumption,,
CHE,Gas,Own_use,2012,,0.05,,Assumption,,
CHE,Gas,Own_use,2013,,0.05,,Assumption,,
CHE,Gas,Own_use,2014,,0.05,,Assumption,,
CHE,Gas,Own_use,2015,,0.05,,Assumption,,
CHE,Gas,Own_use,2016,,0.05,,Assumption,,
CHE,Gas,Own_use,2017,,0.05,,Assumption,,
CHE,Gas,Own_use,2018,,0.05,,Assumption,,
CHE,Gas,Own_use,2019,,0.05,,Assumption,,
CHE,Gas,Buildrates,1990,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1991,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1992,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1993,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1994,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1995,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1996,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1997,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1998,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,1999,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2000,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2001,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2002,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2003,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2004,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2005,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2006,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2007,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2008,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2009,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2010,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2011,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2012,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2013,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2014,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2015,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2016,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2017,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2018,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Buildrates,2019,,2,GW,Assumption,,Maximum between generic assumption of 2.0GW/year and peak historical buildrate for Gas in CHE
CHE,Gas,Lifetime,2010,,30,yr,,,
CHE,Gas,Potential_annual,1990,,,TWh,,,
CHE,Gas,Potential_annual,1991,,,TWh,,,
CHE,Gas,Potential_annual,1992,,,TWh,,,
CHE,Gas,Potential_annual,1993,,,TWh,,,
CHE,Gas,Potential_annual,1994,,,TWh,,,
CHE,Gas,Potential_annual,1995,,,TWh,,,
CHE,Gas,Potential_annual,1996,,,TWh,,,
CHE,Gas,Potential_annual,1997,,,TWh,,,
CHE,Gas,Potential_annual,1998,,,TWh,,,
CHE,Gas,Potential_annual,1999,,,TWh,,,
CHE,Gas,Potential_annual,2000,,,TWh,,,
CHE,Gas,Potential_annual,2001,,,TWh,,,
CHE,Gas,Potential_annual,2002,,,TWh,,,
CHE,Gas,Potential_annual,2003,,,TWh,,,
CHE,Gas,Potential_annual,2004,,,TWh,,,
CHE,Gas,Potential_annual,2005,,,TWh,,,
CHE,Gas,Potential_annual,2006,,,TWh,,,
CHE,Gas,Potential_annual,2007,,,TWh,,,
CHE,Gas,Potential_annual,2008,,,TWh,,,
CHE,Gas,Potential_annual,2009,,,TWh,,,
CHE,Gas,Potential_annual,2010,,,TWh,,,
CHE,Gas,Potential_annual,2011,,,TWh,,,
CHE,Gas,Potential_annual,2012,,,TWh,,,
CHE,Gas,Potential_annual,2013,,,TWh,,,
CHE,Gas,Potential_annual,2014,,,TWh,,,
CHE,Gas,Potential_annual,2015,,,TWh,,,
