Name: CHE HydroDam
Date: 2022-10-13 11:23:59.851537
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,HydroDam,Resource,1990,,HydroResource,,,,
CHE,HydroDam,Resource,1991,,HydroResource,,,,
CHE,HydroDam,Resource,1992,,HydroResource,,,,
CHE,HydroDam,Resource,1993,,HydroResource,,,,
CHE,HydroDam,Resource,1994,,HydroResource,,,,
CHE,HydroDam,Resource,1995,,HydroResource,,,,
CHE,HydroDam,Resource,1996,,HydroResource,,,,
CHE,HydroDam,Resource,1997,,HydroResource,,,,
CHE,HydroDam,Resource,1998,,HydroResource,,,,
CHE,HydroDam,Resource,1999,,HydroResource,,,,
CHE,HydroDam,Resource,2000,,HydroResource,,,,
CHE,HydroDam,Resource,2001,,HydroResource,,,,
CHE,HydroDam,Resource,2002,,HydroResource,,,,
CHE,HydroDam,Resource,2003,,HydroResource,,,,
CHE,HydroDam,Resource,2004,,HydroResource,,,,
CHE,HydroDam,Resource,2005,,HydroResource,,,,
CHE,HydroDam,Resource,2006,,HydroResource,,,,
CHE,HydroDam,Resource,2007,,HydroResource,,,,
CHE,HydroDam,Resource,2008,,HydroResource,,,,
CHE,HydroDam,Resource,2009,,HydroResource,,,,
CHE,HydroDam,Resource,2010,,HydroResource,,,,
CHE,HydroDam,Resource,2011,,HydroResource,,,,
CHE,HydroDam,Resource,2012,,HydroResource,,,,
CHE,HydroDam,Resource,2013,,HydroResource,,,,
CHE,HydroDam,Resource,2014,,HydroResource,,,,
CHE,HydroDam,Resource,2015,,HydroResource,,,,
CHE,HydroDam,Resource,2016,,HydroResource,,,,
CHE,HydroDam,Resource,2017,,HydroResource,,,,
CHE,HydroDam,Resource,2018,,HydroResource,,,,
CHE,HydroDam,Resource,2019,,HydroResource,,,,
CHE,HydroDam,LF_min,1990,,0,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1991,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1992,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1993,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1994,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1995,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1996,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1997,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1998,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,1999,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
CHE,HydroDam,LF_min,2000,,0.239620089,,ENTSO-E Pan-European Climate Database and Eurostat nrg_ind_pehnf,,Assumption - historical minimum observed across synthetic ENTSO-E load factors and historical values
