Name: CHE Nuclear
Date: 2022-10-13 11:23:59.795527
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Nuclear,Resource,1990,,UraniumResource,,,,
CHE,Nuclear,Resource,1991,,UraniumResource,,,,
CHE,Nuclear,Resource,1992,,UraniumResource,,,,
CHE,Nuclear,Resource,1993,,UraniumResource,,,,
CHE,Nuclear,Resource,1994,,UraniumResource,,,,
CHE,Nuclear,Resource,1995,,UraniumResource,,,,
CHE,Nuclear,Resource,1996,,UraniumResource,,,,
CHE,Nuclear,Resource,1997,,UraniumResource,,,,
CHE,Nuclear,Resource,1998,,UraniumResource,,,,
CHE,Nuclear,Resource,1999,,UraniumResource,,,,
CHE,Nuclear,Resource,2000,,UraniumResource,,,,
CHE,Nuclear,Resource,2001,,UraniumResource,,,,
CHE,Nuclear,Resource,2002,,UraniumResource,,,,
CHE,Nuclear,Resource,2003,,UraniumResource,,,,
CHE,Nuclear,Resource,2004,,UraniumResource,,,,
CHE,Nuclear,Resource,2005,,UraniumResource,,,,
CHE,Nuclear,Resource,2006,,UraniumResource,,,,
CHE,Nuclear,Resource,2007,,UraniumResource,,,,
CHE,Nuclear,Resource,2008,,UraniumResource,,,,
CHE,Nuclear,Resource,2009,,UraniumResource,,,,
CHE,Nuclear,Resource,2010,,UraniumResource,,,,
CHE,Nuclear,Resource,2011,,UraniumResource,,,,
CHE,Nuclear,Resource,2012,,UraniumResource,,,,
CHE,Nuclear,Resource,2013,,UraniumResource,,,,
CHE,Nuclear,Resource,2014,,UraniumResource,,,,
CHE,Nuclear,Resource,2015,,UraniumResource,,,,
CHE,Nuclear,Resource,2016,,UraniumResource,,,,
CHE,Nuclear,Resource,2017,,UraniumResource,,,,
CHE,Nuclear,Resource,2018,,UraniumResource,,,,
CHE,Nuclear,Resource,2019,,UraniumResource,,,,
CHE,Nuclear,LF_min,1990,,0,,Assumption for testing,,
