Name: CHE Storage
Date: 2022-10-13 11:24:00.008192
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Storage,Resource,1990,,StorageResource,,,,
CHE,Storage,Resource,1991,,StorageResource,,,,
CHE,Storage,Resource,1992,,StorageResource,,,,
CHE,Storage,Resource,1993,,StorageResource,,,,
CHE,Storage,Resource,1994,,StorageResource,,,,
CHE,Storage,Resource,1995,,StorageResource,,,,
CHE,Storage,Resource,1996,,StorageResource,,,,
CHE,Storage,Resource,1997,,StorageResource,,,,
CHE,Storage,Resource,1998,,StorageResource,,,,
CHE,Storage,Resource,1999,,StorageResource,,,,
CHE,Storage,Resource,2000,,StorageResource,,,,
CHE,Storage,Resource,2001,,StorageResource,,,,
CHE,Storage,Resource,2002,,StorageResource,,,,
CHE,Storage,Resource,2003,,StorageResource,,,,
CHE,Storage,Resource,2004,,StorageResource,,,,
CHE,Storage,Resource,2005,,StorageResource,,,,
CHE,Storage,Resource,2006,,StorageResource,,,,
CHE,Storage,Resource,2007,,StorageResource,,,,
CHE,Storage,Resource,2008,,StorageResource,,,,
CHE,Storage,Resource,2009,,StorageResource,,,,
CHE,Storage,Resource,2010,,StorageResource,,,,
CHE,Storage,Resource,2011,,StorageResource,,,,
CHE,Storage,Resource,2012,,StorageResource,,,,
CHE,Storage,Resource,2013,,StorageResource,,,,
CHE,Storage,Resource,2014,,StorageResource,,,,
CHE,Storage,Resource,2015,,StorageResource,,,,
CHE,Storage,Resource,2016,,StorageResource,,,,
CHE,Storage,Resource,2017,,StorageResource,,,,
CHE,Storage,Resource,2018,,StorageResource,,,,
CHE,Storage,Resource,2019,,StorageResource,,,,
CHE,Storage,LF_min,1990,,0,,Assumption,,
CHE,Storage,LF_min,1991,,0.02,,,,
CHE,Storage,LF_min,1992,,0.02,,,,
CHE,Storage,LF_min,1993,,0.02,,,,
CHE,Storage,LF_min,1994,,0.02,,,,
CHE,Storage,LF_min,1995,,0.02,,,,
CHE,Storage,LF_min,1996,,0.02,,,,
CHE,Storage,LF_min,1997,,0.02,,,,
CHE,Storage,LF_min,1998,,0.02,,,,
CHE,Storage,LF_min,1999,,0.02,,,,
CHE,Storage,LF_min,2000,,0.02,,,,
CHE,Storage,LF_min,2001,,0.02,,,,
CHE,Storage,LF_min,2002,,0.02,,,,
CHE,Storage,LF_min,2003,,0.02,,,,
CHE,Storage,LF_min,2004,,0.02,,,,
CHE,Storage,LF_min,2005,,0.02,,,,
CHE,Storage,LF_min,2006,,0.02,,,,
CHE,Storage,LF_min,2007,,0.02,,,,
CHE,Storage,LF_min,2008,,0.02,,,,
CHE,Storage,LF_min,2009,,0.02,,,,
CHE,Storage,LF_min,2010,,0.02,,,,
CHE,Storage,LF_min,2011,,0.02,,,,
CHE,Storage,LF_min,2012,,0.02,,,,
CHE,Storage,LF_min,2013,,0.02,,,,
CHE,Storage,LF_min,2014,,0.02,,,,
