,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2012-01-18,6702.0,6618.0,6476.0,6413.0,6329.0,6532.0,6966.0,7538.0,7773.0,7758.0,7680.0,7624.0,7384.0,7373.0,7222.0,7132.0,7203.0,7497.0,7567.0,7319.0,6979.0,6781.0,6734.0,6423.0
2012-02-15,6950.0,6969.0,6954.0,7065.0,7103.0,6892.0,7258.0,7762.0,7980.0,8151.0,8243.0,8191.0,8123.0,8212.0,8134.0,8062.0,7955.0,7688.0,7929.0,7645.0,7475.0,7292.0,7237.0,6900.0
2012-03-21,5677.0,5635.0,5593.0,5630.0,5579.0,6048.0,6186.0,6361.0,6595.0,6508.0,6586.0,6723.0,6613.0,6631.0,6279.0,6112.0,6017.0,5877.0,6051.0,6197.0,5847.0,5872.0,5618.0,5491.0
2012-04-18,5175.0,5197.0,5215.0,5176.0,5250.0,5618.0,5713.0,5799.0,6225.0,6297.0,6377.0,6505.0,6271.0,6305.0,6072.0,5902.0,5715.0,5491.0,5391.0,5247.0,5377.0,5457.0,5313.0,5130.0
2012-05-16,4043.0,4038.0,4112.0,4264.0,4070.0,4136.0,4579.0,5049.0,5405.0,5473.0,5635.0,5771.0,5390.0,5365.0,5321.0,5025.0,4761.0,4601.0,4510.0,4348.0,4224.0,4446.0,4346.0,4078.0
2012-06-20,4242.0,4247.0,4169.0,4044.0,3928.0,4113.0,4534.0,4996.0,5397.0,5539.0,5775.0,6022.0,5641.0,5748.0,5713.0,5575.0,5493.0,5189.0,5029.0,4798.0,4599.0,4693.0,4642.0,4485.0
2012-07-18,3843.0,3729.0,3762.0,3688.0,3465.0,3361.0,3694.0,4222.0,4513.0,4700.0,4879.0,5004.0,4669.0,4804.0,4875.0,4852.0,4705.0,4493.0,4380.0,4174.0,4052.0,4277.0,4198.0,3845.0
2012-08-15,4537.0,4560.0,4630.0,4604.0,4269.0,4439.0,4462.0,4898.0,5272.0,5475.0,5656.0,5841.0,5590.0,5693.0,5672.0,5607.0,5503.0,5362.0,5294.0,5031.0,4977.0,5155.0,4920.0,4464.0
2012-09-19,4855.0,4904.0,4715.0,4560.0,4375.0,4769.0,5382.0,5751.0,6028.0,6157.0,6290.0,6499.0,6088.0,6080.0,5995.0,5921.0,5670.0,5447.0,5320.0,5337.0,5300.0,5298.0,5148.0,4738.0
2012-10-17,4534.0,4757.0,4655.0,4646.0,4593.0,4719.0,5238.0,5813.0,5839.0,5703.0,5750.0,5855.0,5582.0,5546.0,5471.0,5454.0,5390.0,5239.0,5426.0,5612.0,5388.0,5230.0,4963.0,4674.0
2012-11-21,5660.0,5835.0,5768.0,5678.0,5627.0,5934.0,6159.0,6721.0,7039.0,7034.0,7043.0,7027.0,6801.0,6798.0,6768.0,6670.0,6794.0,6972.0,6916.0,6543.0,6150.0,5928.0,5758.0,5536.0
2012-12-19,6061.0,6171.0,6038.0,5931.0,5804.0,6160.0,6417.0,6733.0,7039.0,6954.0,6946.0,6901.0,6837.0,6718.0,6643.0,6621.0,6872.0,7016.0,6945.0,6792.0,6477.0,6252.0,6200.0,6067.0
