Name: CHE UraniumResource,,,,,,,,,
Date: 2021-08-06 16:52:26.836271,,,,,,,,,
Author: Marc Jaxa-Rozen,,,,,,,,,
,,,,,,,,,
Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,UraniumResource,Fuel_cost_fuel,1990,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1991,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1992,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1993,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1994,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1995,,2.1,USD1995/MWh,Wenger (1995) Cost Effectiveness at Beznau,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1996,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1997,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1998,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,1999,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,2000,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,2001,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,2002,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
CHE,UraniumResource,Fuel_cost_fuel,2003,,,,,,Fuel cost per MWh of generation - thermal efficiency should be set to 100%. Average of reported values
