Name: CHE Biogas
Date: 2022-10-13 11:23:59.961522
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Biogas,Resource,1990,,BiogasResource,,,,
CHE,Biogas,Resource,1991,,BiogasResource,,,,
CHE,Biogas,Resource,1992,,BiogasResource,,,,
CHE,Biogas,Resource,1993,,BiogasResource,,,,
CHE,Biogas,Resource,1994,,BiogasResource,,,,
CHE,Biogas,Resource,1995,,BiogasResource,,,,
CHE,Biogas,Resource,1996,,BiogasResource,,,,
CHE,Biogas,Resource,1997,,BiogasResource,,,,
CHE,Biogas,Resource,1998,,BiogasResource,,,,
CHE,Biogas,Resource,1999,,BiogasResource,,,,
CHE,Biogas,Resource,2000,,BiogasResource,,,,
CHE,Biogas,Resource,2001,,BiogasResource,,,,
CHE,Biogas,Resource,2002,,BiogasResource,,,,
CHE,Biogas,Resource,2003,,BiogasResource,,,,
CHE,Biogas,Resource,2004,,BiogasResource,,,,
CHE,Biogas,Resource,2005,,BiogasResource,,,,
CHE,Biogas,Resource,2006,,BiogasResource,,,,
CHE,Biogas,Resource,2007,,BiogasResource,,,,
CHE,Biogas,Resource,2008,,BiogasResource,,,,
CHE,Biogas,Resource,2009,,BiogasResource,,,,
CHE,Biogas,Resource,2010,,BiogasResource,,,,
CHE,Biogas,Resource,2011,,BiogasResource,,,,
CHE,Biogas,Resource,2012,,BiogasResource,,,,
CHE,Biogas,Resource,2013,,BiogasResource,,,,
CHE,Biogas,Resource,2014,,BiogasResource,,,,
CHE,Biogas,Resource,2015,,BiogasResource,,,,
CHE,Biogas,Resource,2016,,BiogasResource,,,,
CHE,Biogas,Resource,2017,,BiogasResource,,,,
CHE,Biogas,Resource,2018,,BiogasResource,,,,
CHE,Biogas,Resource,2019,,BiogasResource,,,,
CHE,Biogas,LF_min,1990,,0,,Assumption,,
CHE,Biogas,LF_min,1991,,0.1,,,,
CHE,Biogas,LF_min,1992,,0.1,,,,
CHE,Biogas,LF_min,1993,,0.1,,,,
CHE,Biogas,LF_min,1994,,0.1,,,,
CHE,Biogas,LF_min,1995,,0.1,,,,
CHE,Biogas,LF_min,1996,,0.1,,,,
CHE,Biogas,LF_min,1997,,0.1,,,,
CHE,Biogas,LF_min,1998,,0.1,,,,
CHE,Biogas,LF_min,1999,,0.1,,,,
CHE,Biogas,LF_min,2000,,0.1,,,,
CHE,Biogas,LF_min,2001,,0.1,,,,
CHE,Biogas,LF_min,2002,,0.1,,,,
CHE,Biogas,LF_min,2003,,0.1,,,,
CHE,Biogas,LF_min,2004,,0.1,,,,
CHE,Biogas,LF_min,2005,,0.1,,,,
CHE,Biogas,LF_min,2006,,0.1,,,,
CHE,Biogas,LF_min,2007,,0.1,,,,
CHE,Biogas,LF_min,2008,,0.1,,,,
CHE,Biogas,LF_min,2009,,0.1,,,,
CHE,Biogas,LF_min,2010,,0.1,,,,
CHE,Biogas,LF_min,2011,,0.1,,,,
CHE,Biogas,LF_min,2012,,0.1,,,,
CHE,Biogas,LF_min,2013,,0.1,,,,
CHE,Biogas,LF_min,2014,,0.1,,,,
CHE,Biogas,LF_min,2015,,0.1,,,,
CHE,Biogas,LF_min,2016,,0.1,,,,
CHE,Biogas,LF_min,2017,,0.1,,,,
CHE,Biogas,LF_min,2018,,0.1,,,,
CHE,Biogas,LF_min,2019,,0.1,,,,
CHE,Biogas,LF_max,1990,,1,,"Estimated improved practice from DECC/Arup (2011) Review of the generation costs of RE technologies, section 17.1",,
CHE,Biogas,LF_max,1991,,0.85,,,,
CHE,Biogas,LF_max,1992,,0.85,,,,
CHE,Biogas,LF_max,1993,,0.85,,,,
CHE,Biogas,LF_max,1994,,0.85,,,,
CHE,Biogas,LF_max,1995,,0.85,,,,
CHE,Biogas,LF_max,1996,,0.85,,,,
CHE,Biogas,LF_max,1997,,0.85,,,,
CHE,Biogas,LF_max,1998,,0.85,,,,
CHE,Biogas,LF_max,1999,,0.85,,,,
CHE,Biogas,LF_max,2000,,0.85,,,,
CHE,Biogas,LF_max,2001,,0.85,,,,
CHE,Biogas,LF_max,2002,,0.85,,,,
CHE,Biogas,LF_max,2003,,0.85,,,,
CHE,Biogas,LF_max,2004,,0.85,,,,
CHE,Biogas,LF_max,2005,,0.85,,,,
CHE,Biogas,LF_max,2006,,0.85,,,,
CHE,Biogas,LF_max,2007,,0.85,,,,
CHE,Biogas,LF_max,2008,,0.85,,,,
CHE,Biogas,LF_max,2009,,0.85,,,,
CHE,Biogas,LF_max,2010,,0.85,,,,
CHE,Biogas,LF_max,2011,,0.85,,,,
CHE,Biogas,LF_max,2012,,0.85,,,,
CHE,Biogas,LF_max,2013,,0.85,,,,
CHE,Biogas,LF_max,2014,,0.85,,,,
CHE,Biogas,LF_max,2015,,0.85,,,,
CHE,Biogas,LF_max,2016,,0.85,,,,
CHE,Biogas,LF_max,2017,,0.85,,,,
CHE,Biogas,LF_max,2018,,0.85,,,,
CHE,Biogas,LF_max,2019,,0.85,,,,
CHE,Biogas,Peak_contr,1990,,0.88,,"Royal Academy of Engineering (2014) GB electricity capacity margin, table 1",,Assumption based on other thermal plants 
CHE,Biogas,Peak_contr,1991,,0.88,,,,
CHE,Biogas,Peak_contr,1992,,0.88,,,,
CHE,Biogas,Peak_contr,1993,,0.88,,,,
CHE,Biogas,Peak_contr,1994,,0.88,,,,
CHE,Biogas,Peak_contr,1995,,0.88,,,,
CHE,Biogas,Peak_contr,1996,,0.88,,,,
CHE,Biogas,Peak_contr,1997,,0.88,,,,
CHE,Biogas,Peak_contr,1998,,0.88,,,,
CHE,Biogas,Peak_contr,1999,,0.88,,,,
CHE,Biogas,Peak_contr,2000,,0.88,,,,
CHE,Biogas,Peak_contr,2001,,0.88,,,,
CHE,Biogas,Peak_contr,2002,,0.88,,,,
CHE,Biogas,Peak_contr,2003,,0.88,,,,
CHE,Biogas,Peak_contr,2004,,0.88,,,,
CHE,Biogas,Peak_contr,2005,,0.88,,,,
CHE,Biogas,Peak_contr,2006,,0.88,,,,
CHE,Biogas,Peak_contr,2007,,0.88,,,,
CHE,Biogas,Peak_contr,2008,,0.88,,,,
CHE,Biogas,Peak_contr,2009,,0.88,,,,
CHE,Biogas,Peak_contr,2010,,0.88,,,,
CHE,Biogas,Peak_contr,2011,,0.88,,,,
CHE,Biogas,Peak_contr,2012,,0.88,,,,
CHE,Biogas,Peak_contr,2013,,0.88,,,,
CHE,Biogas,Peak_contr,2014,,0.88,,,,
CHE,Biogas,Peak_contr,2015,,0.88,,,,
CHE,Biogas,Peak_contr,2016,,0.88,,,,
CHE,Biogas,Peak_contr,2017,,0.88,,,,
CHE,Biogas,Peak_contr,2018,,0.88,,,,
CHE,Biogas,Peak_contr,2019,,0.88,,,,
CHE,Biogas,Own_use,1990,,0.05,,Assumption,,
CHE,Biogas,Own_use,1991,,0.05,,Assumption,,
CHE,Biogas,Own_use,1992,,0.05,,Assumption,,
CHE,Biogas,Own_use,1993,,0.05,,Assumption,,
CHE,Biogas,Own_use,1994,,0.05,,Assumption,,
CHE,Biogas,Own_use,1995,,0.05,,Assumption,,
CHE,Biogas,Own_use,1996,,0.05,,Assumption,,
CHE,Biogas,Own_use,1997,,0.05,,Assumption,,
CHE,Biogas,Own_use,1998,,0.05,,Assumption,,
CHE,Biogas,Own_use,1999,,0.05,,Assumption,,
CHE,Biogas,Own_use,2000,,0.05,,Assumption,,
CHE,Biogas,Own_use,2001,,0.05,,Assumption,,
CHE,Biogas,Own_use,2002,,0.05,,Assumption,,
CHE,Biogas,Own_use,2003,,0.05,,Assumption,,
CHE,Biogas,Own_use,2004,,0.05,,Assumption,,
CHE,Biogas,Own_use,2005,,0.05,,Assumption,,
CHE,Biogas,Own_use,2006,,0.05,,Assumption,,
CHE,Biogas,Own_use,2007,,0.05,,Assumption,,
CHE,Biogas,Own_use,2008,,0.05,,Assumption,,
CHE,Biogas,Own_use,2009,,0.05,,Assumption,,
CHE,Biogas,Own_use,2010,,0.05,,Assumption,,
CHE,Biogas,Own_use,2011,,0.05,,Assumption,,
CHE,Biogas,Own_use,2012,,0.05,,Assumption,,
CHE,Biogas,Own_use,2013,,0.05,,Assumption,,
CHE,Biogas,Own_use,2014,,0.05,,Assumption,,
CHE,Biogas,Own_use,2015,,0.05,,Assumption,,
CHE,Biogas,Own_use,2016,,0.05,,Assumption,,
CHE,Biogas,Own_use,2017,,0.05,,Assumption,,
CHE,Biogas,Own_use,2018,,0.05,,Assumption,,
CHE,Biogas,Own_use,2019,,0.05,,Assumption,,
CHE,Biogas,Buildrates,1990,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1991,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1992,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1993,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1994,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1995,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1996,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1997,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1998,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,1999,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,2000,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
CHE,Biogas,Buildrates,2001,,0.25,GW,Assumption,,"Maximum between generic assumption of 0.25GW/year and peak historical buildrate for Biogas in CHE, rounded up to 0.25GW"
