Name: CHE Biomass
Date: 2022-10-13 11:23:59.938942
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Biomass,Resource,1990,,BiomassResource,,,,
CHE,Biomass,Resource,1991,,BiomassResource,,,,
CHE,Biomass,Resource,1992,,BiomassResource,,,,
CHE,Biomass,Resource,1993,,BiomassResource,,,,
CHE,Biomass,Resource,1994,,BiomassResource,,,,
CHE,Biomass,Resource,1995,,BiomassResource,,,,
CHE,Biomass,Resource,1996,,BiomassResource,,,,
CHE,Biomass,Resource,1997,,BiomassResource,,,,
CHE,Biomass,Resource,1998,,BiomassResource,,,,
CHE,Biomass,Resource,1999,,BiomassResource,,,,
CHE,Biomass,Resource,2000,,BiomassResource,,,,
CHE,Biomass,Resource,2001,,BiomassResource,,,,
CHE,Biomass,Resource,2002,,BiomassResource,,,,
CHE,Biomass,Resource,2003,,BiomassResource,,,,
CHE,Biomass,Resource,2004,,BiomassResource,,,,
CHE,Biomass,Resource,2005,,BiomassResource,,,,
CHE,Biomass,Resource,2006,,BiomassResource,,,,
CHE,Biomass,Resource,2007,,BiomassResource,,,,
CHE,Biomass,Resource,2008,,BiomassResource,,,,
CHE,Biomass,Resource,2009,,BiomassResource,,,,
CHE,Biomass,Resource,2010,,BiomassResource,,,,
CHE,Biomass,Resource,2011,,BiomassResource,,,,
CHE,Biomass,Resource,2012,,BiomassResource,,,,
CHE,Biomass,Resource,2013,,BiomassResource,,,,
CHE,Biomass,Resource,2014,,BiomassResource,,,,
CHE,Biomass,Resource,2015,,BiomassResource,,,,
CHE,Biomass,Resource,2016,,BiomassResource,,,,
CHE,Biomass,Resource,2017,,BiomassResource,,,,
CHE,Biomass,Resource,2018,,BiomassResource,,,,
CHE,Biomass,Resource,2019,,BiomassResource,,,,
CHE,Biomass,LF_min,1990,,0,,Assumption for testing,,
CHE,Biomass,LF_min,1991,,0.001,,,,
CHE,Biomass,LF_min,1992,,0.001,,,,
CHE,Biomass,LF_min,1993,,0.001,,,,
CHE,Biomass,LF_min,1994,,0.001,,,,
CHE,Biomass,LF_min,1995,,0.001,,,,
CHE,Biomass,LF_min,1996,,0.001,,,,
CHE,Biomass,LF_min,1997,,0.001,,,,
CHE,Biomass,LF_min,1998,,0.001,,,,
CHE,Biomass,LF_min,1999,,0.001,,,,
CHE,Biomass,LF_min,2000,,0.001,,,,
CHE,Biomass,LF_min,2001,,0.001,,,,
CHE,Biomass,LF_min,2002,,0.001,,,,
CHE,Biomass,LF_min,2003,,0.001,,,,
CHE,Biomass,LF_min,2004,,0.001,,,,
CHE,Biomass,LF_min,2005,,0.001,,,,
CHE,Biomass,LF_min,2006,,0.001,,,,
CHE,Biomass,LF_min,2007,,0.001,,,,
CHE,Biomass,LF_min,2008,,0.001,,,,
