Name: CHE Oil
Date: 2022-10-13 11:23:59.773682
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,Oil,Resource,1990,,OilResource,,,,
CHE,Oil,Resource,1991,,OilResource,,,,
CHE,Oil,Resource,1992,,OilResource,,,,
CHE,Oil,Resource,1993,,OilResource,,,,
CHE,Oil,Resource,1994,,OilResource,,,,
CHE,Oil,Resource,1995,,OilResource,,,,
CHE,Oil,Resource,1996,,OilResource,,,,
CHE,Oil,Resource,1997,,OilResource,,,,
CHE,Oil,Resource,1998,,OilResource,,,,
CHE,Oil,Resource,1999,,OilResource,,,,
CHE,Oil,Resource,2000,,OilResource,,,,
CHE,Oil,Resource,2001,,OilResource,,,,
CHE,Oil,Resource,2002,,OilResource,,,,
CHE,Oil,Resource,2003,,OilResource,,,,
CHE,Oil,Resource,2004,,OilResource,,,,
CHE,Oil,Resource,2005,,OilResource,,,,
CHE,Oil,Resource,2006,,OilResource,,,,
CHE,Oil,Resource,2007,,OilResource,,,,
CHE,Oil,Resource,2008,,OilResource,,,,
CHE,Oil,Resource,2009,,OilResource,,,,
CHE,Oil,Resource,2010,,OilResource,,,,
CHE,Oil,Resource,2011,,OilResource,,,,
CHE,Oil,Resource,2012,,OilResource,,,,
CHE,Oil,Resource,2013,,OilResource,,,,
CHE,Oil,Resource,2014,,OilResource,,,,
CHE,Oil,Resource,2015,,OilResource,,,,
CHE,Oil,Resource,2016,,OilResource,,,,
CHE,Oil,Resource,2017,,OilResource,,,,
CHE,Oil,Resource,2018,,OilResource,,,,
CHE,Oil,Resource,2019,,OilResource,,,,
CHE,Oil,LF_min,1990,,0.0,,Assumption for testing,,
CHE,Oil,LF_min,1991,,0.02,,,,
CHE,Oil,LF_min,1992,,0.02,,,,
CHE,Oil,LF_min,1993,,0.02,,,,
CHE,Oil,LF_min,1994,,0.02,,,,
CHE,Oil,LF_min,1995,,0.02,,,,
CHE,Oil,LF_min,1996,,0.02,,,,
CHE,Oil,LF_min,1997,,0.02,,,,
CHE,Oil,LF_min,1998,,0.02,,,,
CHE,Oil,LF_min,1999,,0.02,,,,
CHE,Oil,LF_min,2000,,0.02,,,,
CHE,Oil,LF_min,2001,,0.02,,,,
CHE,Oil,LF_min,2002,,0.02,,,,
CHE,Oil,LF_min,2003,,0.02,,,,
CHE,Oil,LF_min,2004,,0.02,,,,
CHE,Oil,LF_min,2005,,0.02,,,,
CHE,Oil,LF_min,2006,,0.02,,,,
CHE,Oil,LF_min,2007,,0.02,,,,
CHE,Oil,LF_min,2008,,0.02,,,,
CHE,Oil,LF_min,2009,,0.02,,,,
CHE,Oil,LF_min,2010,,0.02,,,,
CHE,Oil,LF_min,2011,,0.02,,,,
CHE,Oil,LF_min,2012,,0.02,,,,
CHE,Oil,LF_min,2013,,0.02,,,,
CHE,Oil,LF_min,2014,,0.02,,,,
CHE,Oil,LF_min,2015,,0.02,,,,
CHE,Oil,LF_min,2016,,0.02,,,,
CHE,Oil,LF_min,2017,,0.02,,,,
CHE,Oil,LF_min,2018,,0.02,,,,
CHE,Oil,LF_min,2019,,0.02,,,,
CHE,Oil,LF_max,1990,,1.1,,Assumption for testing,,
CHE,Oil,LF_max,1991,,0.85,,,,
CHE,Oil,LF_max,1992,,0.85,,,,
CHE,Oil,LF_max,1993,,0.85,,,,
CHE,Oil,LF_max,1994,,0.85,,,,
CHE,Oil,LF_max,1995,,0.85,,,,
CHE,Oil,LF_max,1996,,0.85,,,,
CHE,Oil,LF_max,1997,,0.85,,,,
CHE,Oil,LF_max,1998,,0.85,,,,
CHE,Oil,LF_max,1999,,0.85,,,,
CHE,Oil,LF_max,2000,,0.85,,,,
CHE,Oil,LF_max,2001,,0.85,,,,
CHE,Oil,LF_max,2002,,0.85,,,,
CHE,Oil,LF_max,2003,,0.85,,,,
CHE,Oil,LF_max,2004,,0.85,,,,
CHE,Oil,LF_max,2005,,0.85,,,,
CHE,Oil,LF_max,2006,,0.85,,,,
CHE,Oil,LF_max,2007,,0.85,,,,
CHE,Oil,LF_max,2008,,0.85,,,,
CHE,Oil,LF_max,2009,,0.85,,,,
CHE,Oil,LF_max,2010,,0.85,,,,
CHE,Oil,LF_max,2011,,0.85,,,,
