Name: CHE OnshoreWind
Date: 2022-10-13 11:23:59.823403
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,OnshoreWind,Resource,1990,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1991,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1992,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1993,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1994,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1995,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1996,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1997,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1998,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,1999,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2000,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2001,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2002,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2003,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2004,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2005,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2006,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2007,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2008,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2009,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2010,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2011,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2012,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2013,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2014,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2015,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2016,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2017,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2018,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2019,,OnshoreWindResource,,,,
CHE,OnshoreWind,Resource,2020,,OnshoreWindResource,,,,
CHE,OnshoreWind,LF_min,1990,,0.05,,,,
CHE,OnshoreWind,LF_min,1991,,0.05,,,,
CHE,OnshoreWind,LF_min,1992,,0.05,,,,
CHE,OnshoreWind,LF_min,1993,,0.05,,,,
CHE,OnshoreWind,LF_min,1994,,0.05,,,,
CHE,OnshoreWind,LF_min,1995,,0.05,,,,
CHE,OnshoreWind,LF_min,1996,,0.05,,,,
CHE,OnshoreWind,LF_min,1997,,0.05,,,,
CHE,OnshoreWind,LF_min,1998,,0.05,,,,
CHE,OnshoreWind,LF_min,1999,,0.05,,,,
CHE,OnshoreWind,LF_min,2000,,0.05,,,,
CHE,OnshoreWind,LF_min,2001,,0.05,,,,
CHE,OnshoreWind,LF_min,2002,,0.05,,,,
CHE,OnshoreWind,LF_min,2003,,0.05,,,,
CHE,OnshoreWind,LF_min,2004,,0.05,,,,
CHE,OnshoreWind,LF_min,2005,,0.05,,,,
CHE,OnshoreWind,LF_min,2006,,0.05,,,,
CHE,OnshoreWind,LF_min,2007,,0.05,,,,
CHE,OnshoreWind,LF_min,2008,,0.05,,,,
CHE,OnshoreWind,LF_min,2009,,0.05,,,,
CHE,OnshoreWind,LF_min,2010,,0.05,,,,
CHE,OnshoreWind,LF_min,2011,,0.05,,,,
CHE,OnshoreWind,LF_min,2012,,0.05,,,,
CHE,OnshoreWind,LF_min,2013,,0.05,,,,
