Name: CHE PV
Date: 2022-10-13 11:23:59.915282
Author: Marc Jaxa-Rozen, Xin Wen

Country,Entity,Parameter,Year,Period,Value,Unit,Reference,Priority,Note
CHE,PV,Resource,1990,,SolarResource,,,,
CHE,PV,Resource,1991,,SolarResource,,,,
CHE,PV,Resource,1992,,SolarResource,,,,
CHE,PV,Resource,1993,,SolarResource,,,,
CHE,PV,Resource,1994,,SolarResource,,,,
CHE,PV,Resource,1995,,SolarResource,,,,
CHE,PV,Resource,1996,,SolarResource,,,,
CHE,PV,Resource,1997,,SolarResource,,,,
CHE,PV,Resource,1998,,SolarResource,,,,
CHE,PV,Resource,1999,,SolarResource,,,,
CHE,PV,Resource,2000,,SolarResource,,,,
CHE,PV,Resource,2001,,SolarResource,,,,
CHE,PV,Resource,2002,,SolarResource,,,,
CHE,PV,Resource,2003,,SolarResource,,,,
CHE,PV,Resource,2004,,SolarResource,,,,
CHE,PV,Resource,2005,,SolarResource,,,,
CHE,PV,Resource,2006,,SolarResource,,,,
CHE,PV,Resource,2007,,SolarResource,,,,
CHE,PV,Resource,2008,,SolarResource,,,,
CHE,PV,Resource,2009,,SolarResource,,,,
CHE,PV,Resource,2010,,SolarResource,,,,
CHE,PV,Resource,2011,,SolarResource,,,,
CHE,PV,Resource,2012,,SolarResource,,,,
CHE,PV,Resource,2013,,SolarResource,,,,
CHE,PV,Resource,2014,,SolarResource,,,,
CHE,PV,Resource,2015,,SolarResource,,,,
CHE,PV,Resource,2016,,SolarResource,,,,
CHE,PV,Resource,2017,,SolarResource,,,,
CHE,PV,Resource,2018,,SolarResource,,,,
CHE,PV,Resource,2019,,SolarResource,,,,
CHE,PV,Peak_contr,1990,,0,,,,
CHE,PV,Peak_contr,1991,,0,,,,
CHE,PV,Peak_contr,1992,,0,,,,
CHE,PV,Peak_contr,1993,,0,,,,
CHE,PV,Peak_contr,1994,,0,,,,
CHE,PV,Peak_contr,1995,,0,,,,
CHE,PV,Peak_contr,1996,,0,,,,
CHE,PV,Peak_contr,1997,,0,,,,
CHE,PV,Peak_contr,1998,,0,,,,
CHE,PV,Peak_contr,1999,,0,,,,
CHE,PV,Peak_contr,2000,,0,,,,
CHE,PV,Peak_contr,2001,,0,,,,
CHE,PV,Peak_contr,2002,,0,,,,
CHE,PV,Peak_contr,2003,,0,,,,
CHE,PV,Peak_contr,2004,,0,,,,
CHE,PV,Peak_contr,2005,,0,,,,
